Location.1,Values,Educational Attainment,Year
Carroll County,6.0%,Graduate or professional degree,2016
Carroll County,79.0%,Percent high school graduate or higher,2016
Carroll County,8.3%,Less than 9th grade,2016
Carroll County,9.0%,Bachelor's degree,2016
Carter County,10.8%,Bachelor's degree,2016
Carter County,11.4%,"9th to 12th grade, no diploma",2016
Carter County,16.1%,Percent bachelor's degree or higher,2016
Carter County,20.4%,"Some college, no degree",2016
Carter County,39.4%,High school graduate (includes equivalency),2016
Carter County,"41,161",Population 25 years and over,2016
Carter County,5.3%,Graduate or professional degree,2016
Carter County,5.4%,Associate's degree,2016
Carter County,7.3%,Less than 9th grade,2016
Carter County,81.3%,Percent high school graduate or higher,2016
Cheatham County,10.6%,"9th to 12th grade, no diploma",2016
Cheatham County,13.3%,Bachelor's degree,2016
Cheatham County,19.4%,Percent bachelor's degree or higher,2016
Cheatham County,21.2%,"Some college, no degree",2016
Cheatham County,"27,138",Population 25 years and over,2016
Cheatham County,3.8%,Less than 9th grade,2016
Cheatham County,37.3%,High school graduate (includes equivalency),2016
Cheatham County,6.2%,Graduate or professional degree,2016
Cheatham County,7.7%,Associate's degree,2016
Cheatham County,85.6%,Percent high school graduate or higher,2016
Chester County,"10,958",Population 25 years and over,2016
Chester County,10.2%,"9th to 12th grade, no diploma",2016
Chester County,15.8%,Percent bachelor's degree or higher,2016
Chester County,22.3%,"Some college, no degree",2016
Chester County,38.6%,High school graduate (includes equivalency),2016
Chester County,5.8%,Less than 9th grade,2016
Chester County,6.7%,Graduate or professional degree,2016
Chester County,7.3%,Associate's degree,2016
Chester County,84.0%,Percent high school graduate or higher,2016
Chester County,9.1%,Bachelor's degree,2016
Claiborne County,11.2%,Less than 9th grade,2016
Claiborne County,11.6%,"9th to 12th grade, no diploma",2016
Claiborne County,13.2%,Percent bachelor's degree or higher,2016
Claiborne County,17.6%,"Some college, no degree",2016
Claiborne County,"22,492",Population 25 years and over,2016
Claiborne County,40.6%,High school graduate (includes equivalency),2016
Claiborne County,5.7%,Graduate or professional degree,2016
Claiborne County,5.8%,Associate's degree,2016
Claiborne County,7.5%,Bachelor's degree,2016
Claiborne County,77.2%,Percent high school graduate or higher,2016
Clay County,11.6%,"9th to 12th grade, no diploma",2016
Clay County,11.6%,"Some college, no degree",2016
Clay County,12.1%,Less than 9th grade,2016
Clay County,13.7%,Percent bachelor's degree or higher,2016
Clay County,4.3%,Associate's degree,2016
Clay County,46.7%,High school graduate (includes equivalency),2016
Clay County,"5,674",Population 25 years and over,2016
Clay County,5.8%,Bachelor's degree,2016
Clay County,76.3%,Percent high school graduate or higher,2016
Clay County,8.0%,Graduate or professional degree,2016
Cocke County,10.2%,Percent bachelor's degree or higher,2016
Cocke County,12.0%,"9th to 12th grade, no diploma",2016
Cocke County,16.9%,"Some college, no degree",2016
Cocke County,"25,243",Population 25 years and over,2016
Cocke County,3.7%,Graduate or professional degree,2016
Cocke County,46.5%,High school graduate (includes equivalency),2016
Cocke County,5.1%,Associate's degree,2016
Cocke County,6.6%,Bachelor's degree,2016
Cocke County,78.8%,Percent high school graduate or higher,2016
Cocke County,9.3%,Less than 9th grade,2016
Coffee County,12.1%,Bachelor's degree,2016
Coffee County,18.5%,Percent bachelor's degree or higher,2016
Coffee County,22.7%,"Some college, no degree",2016
Coffee County,"36,481",Population 25 years and over,2016
Coffee County,37.5%,High school graduate (includes equivalency),2016
Coffee County,4.7%,Less than 9th grade,2016
Coffee County,6.4%,Graduate or professional degree,2016
Coffee County,6.7%,Associate's degree,2016
Coffee County,85.4%,Percent high school graduate or higher,2016
Coffee County,9.9%,"9th to 12th grade, no diploma",2016
Crockett County,13.6%,Percent bachelor's degree or higher,2016
Crockett County,14.7%,"9th to 12th grade, no diploma",2016
Crockett County,18.4%,"Some college, no degree",2016
Crockett County,39.5%,High school graduate (includes equivalency),2016
Crockett County,4.9%,Graduate or professional degree,2016
Crockett County,5.0%,Associate's degree,2016
Crockett County,76.5%,Percent high school graduate or higher,2016
Crockett County,8.7%,Bachelor's degree,2016
Crockett County,8.8%,Less than 9th grade,2016
Crockett County,"9,884",Population 25 years and over,2016
Cumberland County,11.7%,Bachelor's degree,2016
Cumberland County,18.8%,Percent bachelor's degree or higher,2016
Cumberland County,20.0%,"Some college, no degree",2016
Cumberland County,37.8%,High school graduate (includes equivalency),2016
Cumberland County,"43,646",Population 25 years and over,2016
Cumberland County,6.5%,Less than 9th grade,2016
Cumberland County,7.1%,Associate's degree,2016
Cumberland County,7.1%,Graduate or professional degree,2016
Cumberland County,83.6%,Percent high school graduate or higher,2016
Cumberland County,9.9%,"9th to 12th grade, no diploma",2016
Davidson County,14.4%,Graduate or professional degree,2016
Davidson County,19.7%,"Some college, no degree",2016
Davidson County,23.3%,High school graduate (includes equivalency),2016
Davidson County,23.8%,Bachelor's degree,2016
Davidson County,38.2%,Percent bachelor's degree or higher,2016
Davidson County,4.9%,Less than 9th grade,2016
Davidson County,"454,177",Population 25 years and over,2016
Davidson County,6.3%,Associate's degree,2016
Davidson County,7.6%,"9th to 12th grade, no diploma",2016
Davidson County,87.5%,Percent high school graduate or higher,2016
Decatur County,11.2%,"9th to 12th grade, no diploma",2016
Decatur County,11.3%,Percent bachelor's degree or higher,2016
Decatur County,19.3%,"Some college, no degree",2016
Decatur County,4.0%,Graduate or professional degree,2016
Decatur County,46.3%,High school graduate (includes equivalency),2016
Decatur County,5.4%,Associate's degree,2016
Decatur County,6.5%,Less than 9th grade,2016
Decatur County,7.3%,Bachelor's degree,2016
Decatur County,"8,392",Population 25 years and over,2016
Decatur County,82.3%,Percent high school graduate or higher,2016
DeKalb County,"13,323",Population 25 years and over,2016
DeKalb County,13.3%,"9th to 12th grade, no diploma",2016
DeKalb County,14.2%,Percent bachelor's degree or higher,2016
DeKalb County,14.7%,"Some college, no degree",2016
DeKalb County,4.8%,Graduate or professional degree,2016
DeKalb County,44.0%,High school graduate (includes equivalency),2016
DeKalb County,5.1%,Associate's degree,2016
DeKalb County,78.0%,Percent high school graduate or higher,2016
DeKalb County,8.8%,Less than 9th grade,2016
DeKalb County,9.4%,Bachelor's degree,2016
Dickson County,10.8%,"9th to 12th grade, no diploma",2016
Dickson County,14.1%,Percent bachelor's degree or higher,2016
Dickson County,20.3%,"Some college, no degree",2016
Dickson County,"34,804",Population 25 years and over,2016
Dickson County,4.9%,Graduate or professional degree,2016
Dickson County,44.1%,High school graduate (includes equivalency),2016
Dickson County,5.1%,Associate's degree,2016
Dickson County,5.6%,Less than 9th grade,2016
Dickson County,83.6%,Percent high school graduate or higher,2016
Dickson County,9.3%,Bachelor's degree,2016
Dyer County,11.1%,Bachelor's degree,2016
Dyer County,18.2%,"Some college, no degree",2016
Dyer County,18.4%,Percent bachelor's degree or higher,2016
Dyer County,"25,544",Population 25 years and over,2016
Dyer County,39.2%,High school graduate (includes equivalency),2016
Dyer County,7.3%,Graduate or professional degree,2016
Dyer County,7.4%,Associate's degree,2016
Dyer County,7.5%,Less than 9th grade,2016
Dyer County,83.2%,Percent high school graduate or higher,2016
Dyer County,9.3%,"9th to 12th grade, no diploma",2016
Fayette County,14.7%,Bachelor's degree,2016
Fayette County,22.1%,Percent bachelor's degree or higher,2016
Fayette County,23.6%,"Some college, no degree",2016
Fayette County,"28,134",Population 25 years and over,2016
Fayette County,35.3%,High school graduate (includes equivalency),2016
Fayette County,4.2%,Less than 9th grade,2016
Fayette County,5.2%,Associate's degree,2016
Fayette County,7.4%,Graduate or professional degree,2016
Fayette County,86.2%,Percent high school graduate or higher,2016
Fayette County,9.5%,"9th to 12th grade, no diploma",2016
Fentress County,11.3%,"9th to 12th grade, no diploma",2016
Fentress County,11.4%,Less than 9th grade,2016
Fentress County,"12,652",Population 25 years and over,2016
Fentress County,12.5%,Percent bachelor's degree or higher,2016
Fentress County,15.6%,"Some college, no degree",2016
Fentress County,4.0%,Associate's degree,2016
Fentress County,4.6%,Graduate or professional degree,2016
Fentress County,45.2%,High school graduate (includes equivalency),2016
Fentress County,7.9%,Bachelor's degree,2016
Fentress County,77.3%,Percent high school graduate or higher,2016
Franklin County,11.2%,Bachelor's degree,2016
Franklin County,19.0%,Percent bachelor's degree or higher,2016
Franklin County,19.7%,"Some college, no degree",2016
Franklin County,"28,149",Population 25 years and over,2016
Franklin County,39.3%,High school graduate (includes equivalency),2016
Franklin County,6.0%,Less than 9th grade,2016
Franklin County,7.3%,Associate's degree,2016
Franklin County,7.8%,Graduate or professional degree,2016
Franklin County,8.7%,"9th to 12th grade, no diploma",2016
Franklin County,85.3%,Percent high school graduate or higher,2016
Gibson County,11.0%,Bachelor's degree,2016
Gibson County,17.3%,Percent bachelor's degree or higher,2016
Gibson County,23.2%,"Some college, no degree",2016
Gibson County,"33,608",Population 25 years and over,2016
Gibson County,38.4%,High school graduate (includes equivalency),2016
Gibson County,5.7%,Less than 9th grade,2016
Gibson County,5.9%,Associate's degree,2016
Gibson County,6.3%,Graduate or professional degree,2016
Gibson County,84.8%,Percent high school graduate or higher,2016
Gibson County,9.5%,"9th to 12th grade, no diploma",2016
Giles County,10.4%,"9th to 12th grade, no diploma",2016
Giles County,14.0%,Percent bachelor's degree or higher,2016
Giles County,19.3%,"Some college, no degree",2016
Giles County,"20,348",Population 25 years and over,2016
Giles County,4.7%,Graduate or professional degree,2016
Giles County,44.2%,High school graduate (includes equivalency),2016
Giles County,5.8%,Associate's degree,2016
Giles County,6.3%,Less than 9th grade,2016
Giles County,83.3%,Percent high school graduate or higher,2016
Giles County,9.3%,Bachelor's degree,2016
Grainger County,10.3%,Less than 9th grade,2016
Grainger County,11.6%,Percent bachelor's degree or higher,2016
Grainger County,"16,317",Population 25 years and over,2016
Grainger County,16.8%,"Some college, no degree",2016
Grainger County,3.5%,Graduate or professional degree,2016
Grainger County,44.8%,High school graduate (includes equivalency),2016
Grainger County,7.2%,Associate's degree,2016
Grainger County,8.2%,Bachelor's degree,2016
Grainger County,80.4%,Percent high school graduate or higher,2016
Grainger County,9.3%,"9th to 12th grade, no diploma",2016
Greene County,10.0%,"9th to 12th grade, no diploma",2016
Greene County,14.7%,Percent bachelor's degree or higher,2016
Greene County,18.1%,"Some college, no degree",2016
Greene County,43.4%,High school graduate (includes equivalency),2016
Greene County,"49,012",Population 25 years and over,2016
Greene County,5.1%,Graduate or professional degree,2016
Greene County,5.7%,Associate's degree,2016
Greene County,8.1%,Less than 9th grade,2016
Greene County,81.9%,Percent high school graduate or higher,2016
Greene County,9.6%,Bachelor's degree,2016
Grundy County,11.0%,"9th to 12th grade, no diploma",2016
Grundy County,11.0%,Percent bachelor's degree or higher,2016
Grundy County,13.6%,"Some college, no degree",2016
Grundy County,15.0%,Less than 9th grade,2016
Grundy County,4.4%,Graduate or professional degree,2016
Grundy County,44.0%,High school graduate (includes equivalency),2016
Grundy County,5.5%,Associate's degree,2016
Grundy County,6.5%,Bachelor's degree,2016
Grundy County,74.0%,Percent high school graduate or higher,2016
Grundy County,"9,465",Population 25 years and over,2016
Hamblen County,10.1%,Bachelor's degree,2016
Hamblen County,16.0%,Percent bachelor's degree or higher,2016
Hamblen County,18.3%,"Some college, no degree",2016
Hamblen County,41.6%,High school graduate (includes equivalency),2016
Hamblen County,"43,388",Population 25 years and over,2016
Hamblen County,5.6%,Associate's degree,2016
Hamblen County,5.8%,Graduate or professional degree,2016
Hamblen County,81.5%,Percent high school graduate or higher,2016
Hamblen County,9.0%,Less than 9th grade,2016
Hamblen County,9.6%,"9th to 12th grade, no diploma",2016
Hamilton County,10.6%,Graduate or professional degree,2016
Hamilton County,19.0%,Bachelor's degree,2016
Hamilton County,23.1%,"Some college, no degree",2016
Hamilton County,"243,329",Population 25 years and over,2016
Hamilton County,27.1%,High school graduate (includes equivalency),2016
Hamilton County,29.6%,Percent bachelor's degree or higher,2016
Hamilton County,4.1%,Less than 9th grade,2016
Hamilton County,7.9%,Associate's degree,2016
Hamilton County,8.1%,"9th to 12th grade, no diploma",2016
Hamilton County,87.8%,Percent high school graduate or higher,2016
Hancock County,10.6%,Less than 9th grade,2016
Hancock County,11.3%,Percent bachelor's degree or higher,2016
Hancock County,13.7%,"9th to 12th grade, no diploma",2016
Hancock County,19.9%,"Some college, no degree",2016
Hancock County,"4,752",Population 25 years and over,2016
Hancock County,4.3%,Graduate or professional degree,2016
Hancock County,4.5%,Associate's degree,2016
Hancock County,40.0%,High school graduate (includes equivalency),2016
Hancock County,7.0%,Bachelor's degree,2016
Hancock County,75.7%,Percent high school graduate or higher,2016
Hardeman County,10.8%,Percent bachelor's degree or higher,2016
Hardeman County,16.3%,"Some college, no degree",2016
Hardeman County,17.6%,"9th to 12th grade, no diploma",2016
Hardeman County,"18,254",Population 25 years and over,2016
Hardeman County,4.0%,Associate's degree,2016
Hardeman County,4.3%,Graduate or professional degree,2016
Hardeman County,45.9%,High school graduate (includes equivalency),2016
Hardeman County,5.3%,Less than 9th grade,2016
Hardeman County,6.5%,Bachelor's degree,2016
Hardeman County,77.0%,Percent high school graduate or higher,2016
Hardin County,12.0%,"9th to 12th grade, no diploma",2016
Hardin County,12.7%,Percent bachelor's degree or higher,2016
Hardin County,"18,628",Population 25 years and over,2016
Hardin County,18.7%,"Some college, no degree",2016
Hardin County,4.9%,Graduate or professional degree,2016
Hardin County,42.6%,High school graduate (includes equivalency),2016
Hardin County,5.6%,Associate's degree,2016
Hardin County,7.7%,Bachelor's degree,2016
Hardin County,79.6%,Percent high school graduate or higher,2016
Hardin County,8.4%,Less than 9th grade,2016
Hawkins County,10.0%,"9th to 12th grade, no diploma",2016
Hawkins County,13.0%,Percent bachelor's degree or higher,2016
Hawkins County,18.7%,"Some college, no degree",2016
Hawkins County,4.2%,Graduate or professional degree,2016
Hawkins County,"40,416",Population 25 years and over,2016
Hawkins County,43.5%,High school graduate (includes equivalency),2016
Hawkins County,6.8%,Associate's degree,2016
Hawkins County,8.0%,Less than 9th grade,2016
Hawkins County,8.8%,Bachelor's degree,2016
Hawkins County,82.0%,Percent high school graduate or higher,2016
Haywood County,11.9%,Percent bachelor's degree or higher,2016
Haywood County,"12,534",Population 25 years and over,2016
Haywood County,12.6%,"9th to 12th grade, no diploma",2016
Haywood County,20.0%,"Some college, no degree",2016
Haywood County,4.4%,Associate's degree,2016
Haywood County,4.6%,Graduate or professional degree,2016
Haywood County,44.5%,High school graduate (includes equivalency),2016
Haywood County,6.6%,Less than 9th grade,2016
Haywood County,7.3%,Bachelor's degree,2016
Haywood County,80.8%,Percent high school graduate or higher,2016
Henderson County,13.4%,Percent bachelor's degree or higher,2016
Henderson County,13.7%,"9th to 12th grade, no diploma",2016
Henderson County,"19,242",Population 25 years and over,2016
Henderson County,20.1%,"Some college, no degree",2016
Henderson County,39.7%,High school graduate (includes equivalency),2016
Henderson County,4.4%,Graduate or professional degree,2016
Henderson County,6.1%,Less than 9th grade,2016
Henderson County,7.1%,Associate's degree,2016
Henderson County,80.2%,Percent high school graduate or higher,2016
Henderson County,9.0%,Bachelor's degree,2016
Henry County,14.7%,Percent bachelor's degree or higher,2016
Henry County,18.0%,"Some college, no degree",2016
Henry County,"23,226",Population 25 years and over,2016
Henry County,4.3%,Associate's degree,2016
Henry County,47.3%,High school graduate (includes equivalency),2016
Henry County,5.8%,Less than 9th grade,2016
Henry County,6.4%,Graduate or professional degree,2016
Henry County,8.3%,Bachelor's degree,2016
Henry County,84.3%,Percent high school graduate or higher,2016
Henry County,9.9%,"9th to 12th grade, no diploma",2016
Hickman County,11.4%,Percent bachelor's degree or higher,2016
Hickman County,14.5%,"9th to 12th grade, no diploma",2016
Hickman County,"16,829",Population 25 years and over,2016
Hickman County,17.9%,"Some college, no degree",2016
Hickman County,3.7%,Graduate or professional degree,2016
Hickman County,41.9%,High school graduate (includes equivalency),2016
Hickman County,5.9%,Associate's degree,2016
Hickman County,7.7%,Bachelor's degree,2016
Hickman County,77.2%,Percent high school graduate or higher,2016
Hickman County,8.3%,Less than 9th grade,2016
Houston County,10.7%,Percent bachelor's degree or higher,2016
Houston County,16.8%,"Some college, no degree",2016
Houston County,17.1%,"9th to 12th grade, no diploma",2016
Houston County,2.2%,Graduate or professional degree,2016
Houston County,4.3%,Associate's degree,2016
Houston County,45.2%,High school graduate (includes equivalency),2016
Houston County,"5,727",Population 25 years and over,2016
Houston County,6.0%,Less than 9th grade,2016
Houston County,76.9%,Percent high school graduate or higher,2016
Houston County,8.5%,Bachelor's degree,2016
Humphreys County,11.8%,"9th to 12th grade, no diploma",2016
Humphreys County,"12,762",Population 25 years and over,2016
Humphreys County,12.9%,Percent bachelor's degree or higher,2016
Humphreys County,21.9%,"Some college, no degree",2016
Humphreys County,42.5%,High school graduate (includes equivalency),2016
Humphreys County,5.1%,Less than 9th grade,2016
Humphreys County,5.6%,Graduate or professional degree,2016
Humphreys County,5.9%,Associate's degree,2016
Humphreys County,7.3%,Bachelor's degree,2016
Humphreys County,83.2%,Percent high school graduate or higher,2016
Jackson County,11.6%,Less than 9th grade,2016
Jackson County,11.8%,"9th to 12th grade, no diploma",2016
Jackson County,15.3%,"Some college, no degree",2016
Jackson County,3.4%,Graduate or professional degree,2016
Jackson County,3.7%,Associate's degree,2016
Jackson County,4.7%,Bachelor's degree,2016
Jackson County,49.6%,High school graduate (includes equivalency),2016
Jackson County,76.6%,Percent high school graduate or higher,2016
Jackson County,"8,429",Population 25 years and over,2016
Jackson County,8.0%,Percent bachelor's degree or higher,2016
Jefferson County,15.6%,Percent bachelor's degree or higher,2016
Jefferson County,21.6%,"Some college, no degree",2016
Jefferson County,"36,897",Population 25 years and over,2016
Jefferson County,39.2%,High school graduate (includes equivalency),2016
Jefferson County,6.2%,Graduate or professional degree,2016
Jefferson County,6.7%,Less than 9th grade,2016
Jefferson County,7.3%,Associate's degree,2016
Jefferson County,83.7%,Percent high school graduate or higher,2016
Jefferson County,9.4%,Bachelor's degree,2016
Jefferson County,9.6%,"9th to 12th grade, no diploma",2016
Johnson County,10.1%,Percent bachelor's degree or higher,2016
Johnson County,"13,422",Population 25 years and over,2016
Johnson County,14.9%,"9th to 12th grade, no diploma",2016
Johnson County,17.5%,"Some college, no degree",2016
Johnson County,3.6%,Graduate or professional degree,2016
Johnson County,41.6%,High school graduate (includes equivalency),2016
Johnson County,6.5%,Bachelor's degree,2016
Johnson County,7.1%,Associate's degree,2016
Johnson County,76.3%,Percent high school graduate or higher,2016
Johnson County,8.8%,Less than 9th grade,2016
Knox County,14.0%,Graduate or professional degree,2016
Knox County,20.6%,"Some college, no degree",2016
Knox County,21.7%,Bachelor's degree,2016
Knox County,25.9%,High school graduate (includes equivalency),2016
Knox County,"297,488",Population 25 years and over,2016
Knox County,3.1%,Less than 9th grade,2016
Knox County,35.7%,Percent bachelor's degree or higher,2016
Knox County,6.3%,"9th to 12th grade, no diploma",2016
Knox County,8.4%,Associate's degree,2016
Knox County,90.6%,Percent high school graduate or higher,2016
Lake County,14.7%,"Some college, no degree",2016
Lake County,17.1%,"9th to 12th grade, no diploma",2016
Lake County,3.3%,Graduate or professional degree,2016
Lake County,3.6%,Associate's degree,2016
Lake County,45.6%,High school graduate (includes equivalency),2016
Lake County,"5,685",Population 25 years and over,2016
Lake County,5.8%,Bachelor's degree,2016
Lake County,73.1%,Percent high school graduate or higher,2016
Lake County,9.1%,Percent bachelor's degree or higher,2016
Lake County,9.8%,Less than 9th grade,2016
Lauderdale County,15.9%,"9th to 12th grade, no diploma",2016
Lauderdale County,17.4%,"Some college, no degree",2016
Lauderdale County,"18,415",Population 25 years and over,2016
Lauderdale County,3.2%,Graduate or professional degree,2016
Lauderdale County,4.5%,Associate's degree,2016
Lauderdale County,45.0%,High school graduate (includes equivalency),2016
Lauderdale County,5.4%,Bachelor's degree,2016
Lauderdale County,75.5%,Percent high school graduate or higher,2016
Lauderdale County,8.6%,Less than 9th grade,2016
Lauderdale County,8.6%,Percent bachelor's degree or higher,2016
Lawrence County,10.0%,"9th to 12th grade, no diploma",2016
Lawrence County,10.1%,Less than 9th grade,2016
Lawrence County,11.7%,Percent bachelor's degree or higher,2016
Lawrence County,18.8%,"Some college, no degree",2016
Lawrence County,"28,517",Population 25 years and over,2016
Lawrence County,4.8%,Graduate or professional degree,2016
Lawrence County,42.9%,High school graduate (includes equivalency),2016
Lawrence County,6.5%,Associate's degree,2016
Lawrence County,6.8%,Bachelor's degree,2016
Lawrence County,79.9%,Percent high school graduate or higher,2016
Lewis County,10.2%,"9th to 12th grade, no diploma",2016
Lewis County,12.3%,Percent bachelor's degree or higher,2016
Lewis County,20.9%,"Some college, no degree",2016
Lewis County,3.7%,Graduate or professional degree,2016
Lewis County,42.9%,High school graduate (includes equivalency),2016
Lewis County,6.5%,Associate's degree,2016
Lewis County,7.2%,Less than 9th grade,2016
Lewis County,"8,397",Population 25 years and over,2016
Lewis County,8.6%,Bachelor's degree,2016
Lewis County,82.6%,Percent high school graduate or higher,2016
Lincoln County,11.5%,"9th to 12th grade, no diploma",2016
Lincoln County,11.5%,Bachelor's degree,2016
Lincoln County,17.5%,Percent bachelor's degree or higher,2016
Lincoln County,18.3%,"Some college, no degree",2016
Lincoln County,"23,553",Population 25 years and over,2016
Lincoln County,41.2%,High school graduate (includes equivalency),2016
Lincoln County,5.2%,Less than 9th grade,2016
Lincoln County,6.0%,Graduate or professional degree,2016
Lincoln County,6.2%,Associate's degree,2016
Lincoln County,83.3%,Percent high school graduate or higher,2016
Loudon County,15.6%,Bachelor's degree,2016
Loudon County,19.9%,"Some college, no degree",2016
Loudon County,25.4%,Percent bachelor's degree or higher,2016
Loudon County,32.7%,High school graduate (includes equivalency),2016
Loudon County,"37,123",Population 25 years and over,2016
Loudon County,6.8%,Less than 9th grade,2016
Loudon County,7.3%,Associate's degree,2016
Loudon County,7.9%,"9th to 12th grade, no diploma",2016
Loudon County,85.3%,Percent high school graduate or higher,2016
Loudon County,9.8%,Graduate or professional degree,2016
Macon County,10.4%,Less than 9th grade,2016
Macon County,13.9%,"9th to 12th grade, no diploma",2016
Macon County,"15,384",Population 25 years and over,2016
Macon County,15.1%,"Some college, no degree",2016
Macon County,4.0%,Graduate or professional degree,2016
Macon County,45.2%,High school graduate (includes equivalency),2016
Macon County,5.2%,Bachelor's degree,2016
Macon County,6.2%,Associate's degree,2016
Macon County,75.7%,Percent high school graduate or higher,2016
Macon County,9.2%,Percent bachelor's degree or higher,2016
Madison County,17.0%,Bachelor's degree,2016
Madison County,22.4%,"Some college, no degree",2016
Madison County,25.5%,Percent bachelor's degree or higher,2016
Madison County,3.1%,Less than 9th grade,2016
Madison County,33.6%,High school graduate (includes equivalency),2016
Madison County,"64,505",Population 25 years and over,2016
Madison County,7.0%,Associate's degree,2016
Madison County,8.4%,"9th to 12th grade, no diploma",2016
Madison County,8.5%,Graduate or professional degree,2016
Madison County,88.5%,Percent high school graduate or higher,2016
Marion County,12.3%,Percent bachelor's degree or higher,2016
Marion County,12.8%,"9th to 12th grade, no diploma",2016
Marion County,"20,200",Population 25 years and over,2016
Marion County,22.7%,"Some college, no degree",2016
Marion County,37.0%,High school graduate (includes equivalency),2016
Marion County,4.3%,Graduate or professional degree,2016
Marion County,6.3%,Associate's degree,2016
Marion County,78.3%,Percent high school graduate or higher,2016
Marion County,8.0%,Bachelor's degree,2016
Marion County,8.9%,Less than 9th grade,2016
Marshall County,10.6%,Bachelor's degree,2016
Marshall County,14.0%,Percent bachelor's degree or higher,2016
Marshall County,20.4%,"Some college, no degree",2016
Marshall County,"21,409",Population 25 years and over,2016
