Location.1,Values,Educational Attainment,Year
Crockett County,0.05,Graduate or professional degree,2016
Crockett County,0.05,Associate's degree,2016
Crockett County,0.77,Percent high school graduate or higher,2016
Crockett County,0.09,Bachelor's degree,2016
Crockett County,0.09,Less than 9th grade,2016
Crockett County,9884.00,Population 25 years and over,2016
Cumberland County,0.12,Bachelor's degree,2016
Cumberland County,0.19,Percent bachelor's degree or higher,2016
Cumberland County,0.20,"Some college, no degree",2016
Cumberland County,0.38,High school graduate (includes equivalency),2016
Cumberland County,43646.00,Population 25 years and over,2016
Cumberland County,0.07,Less than 9th grade,2016
Cumberland County,0.07,Associate's degree,2016
Cumberland County,0.07,Graduate or professional degree,2016
Cumberland County,0.84,Percent high school graduate or higher,2016
Cumberland County,0.10,"9th to 12th grade, no diploma",2016
Davidson County,0.14,Graduate or professional degree,2016
Davidson County,0.20,"Some college, no degree",2016
Davidson County,0.23,High school graduate (includes equivalency),2016
Davidson County,0.24,Bachelor's degree,2016
Davidson County,0.38,Percent bachelor's degree or higher,2016
Davidson County,0.05,Less than 9th grade,2016
Davidson County,454177.00,Population 25 years and over,2016
Davidson County,0.06,Associate's degree,2016
Davidson County,0.08,"9th to 12th grade, no diploma",2016
Davidson County,0.88,Percent high school graduate or higher,2016
Decatur County,0.11,"9th to 12th grade, no diploma",2016
Decatur County,0.11,Percent bachelor's degree or higher,2016
Decatur County,0.19,"Some college, no degree",2016
Decatur County,0.04,Graduate or professional degree,2016
Decatur County,0.46,High school graduate (includes equivalency),2016
Decatur County,0.05,Associate's degree,2016
Decatur County,0.07,Less than 9th grade,2016
Decatur County,0.07,Bachelor's degree,2016
Decatur County,8392.00,Population 25 years and over,2016
Decatur County,0.82,Percent high school graduate or higher,2016
DeKalb County,13323.00,Population 25 years and over,2016
DeKalb County,0.13,"9th to 12th grade, no diploma",2016
DeKalb County,0.14,Percent bachelor's degree or higher,2016
DeKalb County,0.15,"Some college, no degree",2016
DeKalb County,0.05,Graduate or professional degree,2016
DeKalb County,0.44,High school graduate (includes equivalency),2016
DeKalb County,0.05,Associate's degree,2016
DeKalb County,0.78,Percent high school graduate or higher,2016
DeKalb County,0.09,Less than 9th grade,2016
DeKalb County,0.09,Bachelor's degree,2016
Dickson County,0.11,"9th to 12th grade, no diploma",2016
Dickson County,0.14,Percent bachelor's degree or higher,2016
Dickson County,0.20,"Some college, no degree",2016
Dickson County,34804.00,Population 25 years and over,2016
Dickson County,0.05,Graduate or professional degree,2016
Dickson County,0.44,High school graduate (includes equivalency),2016
Dickson County,0.05,Associate's degree,2016
Dickson County,0.06,Less than 9th grade,2016
Dickson County,0.84,Percent high school graduate or higher,2016
Dickson County,0.09,Bachelor's degree,2016
Dyer County,0.11,Bachelor's degree,2016
Dyer County,0.18,"Some college, no degree",2016
Dyer County,0.18,Percent bachelor's degree or higher,2016
Dyer County,25544.00,Population 25 years and over,2016
Dyer County,0.39,High school graduate (includes equivalency),2016
Dyer County,0.07,Graduate or professional degree,2016
Dyer County,0.07,Associate's degree,2016
Dyer County,0.08,Less than 9th grade,2016
Dyer County,0.83,Percent high school graduate or higher,2016
Dyer County,0.09,"9th to 12th grade, no diploma",2016
Fayette County,0.15,Bachelor's degree,2016
Fayette County,0.22,Percent bachelor's degree or higher,2016
Fayette County,0.24,"Some college, no degree",2016
Fayette County,28134.00,Population 25 years and over,2016
Fayette County,0.35,High school graduate (includes equivalency),2016
Fayette County,0.04,Less than 9th grade,2016
Fayette County,0.05,Associate's degree,2016
Fayette County,0.07,Graduate or professional degree,2016
Fayette County,0.86,Percent high school graduate or higher,2016
Fayette County,0.10,"9th to 12th grade, no diploma",2016
Fentress County,0.11,"9th to 12th grade, no diploma",2016
Fentress County,0.11,Less than 9th grade,2016
Fentress County,12652.00,Population 25 years and over,2016
Fentress County,0.13,Percent bachelor's degree or higher,2016
Fentress County,0.16,"Some college, no degree",2016
Fentress County,0.04,Associate's degree,2016
Fentress County,0.05,Graduate or professional degree,2016
Fentress County,0.45,High school graduate (includes equivalency),2016
Fentress County,0.08,Bachelor's degree,2016
Fentress County,0.77,Percent high school graduate or higher,2016
Franklin County,0.11,Bachelor's degree,2016
Franklin County,0.19,Percent bachelor's degree or higher,2016
Franklin County,0.20,"Some college, no degree",2016
Franklin County,28149.00,Population 25 years and over,2016
Franklin County,0.39,High school graduate (includes equivalency),2016
Franklin County,0.06,Less than 9th grade,2016
Franklin County,0.07,Associate's degree,2016
Franklin County,0.08,Graduate or professional degree,2016
Franklin County,0.09,"9th to 12th grade, no diploma",2016
Franklin County,0.85,Percent high school graduate or higher,2016
Gibson County,0.11,Bachelor's degree,2016
Gibson County,0.17,Percent bachelor's degree or higher,2016
Gibson County,0.23,"Some college, no degree",2016
Gibson County,33608.00,Population 25 years and over,2016
Gibson County,0.38,High school graduate (includes equivalency),2016
Gibson County,0.06,Less than 9th grade,2016
Gibson County,0.06,Associate's degree,2016
Gibson County,0.06,Graduate or professional degree,2016
Gibson County,0.85,Percent high school graduate or higher,2016
Gibson County,0.10,"9th to 12th grade, no diploma",2016
Giles County,0.10,"9th to 12th grade, no diploma",2016
Giles County,0.14,Percent bachelor's degree or higher,2016
Giles County,0.19,"Some college, no degree",2016
Giles County,20348.00,Population 25 years and over,2016
Giles County,0.05,Graduate or professional degree,2016
Giles County,0.44,High school graduate (includes equivalency),2016
Giles County,0.06,Associate's degree,2016
Giles County,0.06,Less than 9th grade,2016
Giles County,0.83,Percent high school graduate or higher,2016
Giles County,0.09,Bachelor's degree,2016
Grainger County,0.10,Less than 9th grade,2016
Grainger County,0.12,Percent bachelor's degree or higher,2016
Grainger County,16317.00,Population 25 years and over,2016
Grainger County,0.17,"Some college, no degree",2016
Grainger County,0.04,Graduate or professional degree,2016
Grainger County,0.45,High school graduate (includes equivalency),2016
Grainger County,0.07,Associate's degree,2016
Grainger County,0.08,Bachelor's degree,2016
Grainger County,0.80,Percent high school graduate or higher,2016
Grainger County,0.09,"9th to 12th grade, no diploma",2016
Greene County,0.10,"9th to 12th grade, no diploma",2016
Greene County,0.15,Percent bachelor's degree or higher,2016
Greene County,0.18,"Some college, no degree",2016
Greene County,0.43,High school graduate (includes equivalency),2016
Greene County,49012.00,Population 25 years and over,2016
Greene County,0.05,Graduate or professional degree,2016
Greene County,0.06,Associate's degree,2016
Greene County,0.08,Less than 9th grade,2016
Greene County,0.82,Percent high school graduate or higher,2016
Greene County,0.10,Bachelor's degree,2016
Grundy County,0.11,"9th to 12th grade, no diploma",2016
Grundy County,0.11,Percent bachelor's degree or higher,2016
Grundy County,0.14,"Some college, no degree",2016
Grundy County,0.15,Less than 9th grade,2016
Grundy County,0.04,Graduate or professional degree,2016
Grundy County,0.44,High school graduate (includes equivalency),2016
Grundy County,0.06,Associate's degree,2016
Grundy County,0.07,Bachelor's degree,2016
Grundy County,0.74,Percent high school graduate or higher,2016
Grundy County,9465.00,Population 25 years and over,2016
Hamblen County,0.10,Bachelor's degree,2016
Hamblen County,0.16,Percent bachelor's degree or higher,2016
Hamblen County,0.18,"Some college, no degree",2016
Hamblen County,0.42,High school graduate (includes equivalency),2016
Hamblen County,43388.00,Population 25 years and over,2016
Hamblen County,0.06,Associate's degree,2016
Hamblen County,0.06,Graduate or professional degree,2016
Hamblen County,0.82,Percent high school graduate or higher,2016
Hamblen County,0.09,Less than 9th grade,2016
Hamblen County,0.10,"9th to 12th grade, no diploma",2016
Hamilton County,0.11,Graduate or professional degree,2016
Hamilton County,0.19,Bachelor's degree,2016
Hamilton County,0.23,"Some college, no degree",2016
Hamilton County,243329.00,Population 25 years and over,2016
Hamilton County,0.27,High school graduate (includes equivalency),2016
Hamilton County,0.30,Percent bachelor's degree or higher,2016
Hamilton County,0.04,Less than 9th grade,2016
Hamilton County,0.08,Associate's degree,2016
Hamilton County,0.08,"9th to 12th grade, no diploma",2016
Hamilton County,0.88,Percent high school graduate or higher,2016
Hancock County,0.11,Less than 9th grade,2016
Hancock County,0.11,Percent bachelor's degree or higher,2016
Hancock County,0.14,"9th to 12th grade, no diploma",2016
Hancock County,0.20,"Some college, no degree",2016
Hancock County,4752.00,Population 25 years and over,2016
Hancock County,0.04,Graduate or professional degree,2016
Hancock County,0.05,Associate's degree,2016
Hancock County,0.40,High school graduate (includes equivalency),2016
Hancock County,0.07,Bachelor's degree,2016
Hancock County,0.76,Percent high school graduate or higher,2016
Hardeman County,0.11,Percent bachelor's degree or higher,2016
Hardeman County,0.16,"Some college, no degree",2016
Hardeman County,0.18,"9th to 12th grade, no diploma",2016
Hardeman County,18254.00,Population 25 years and over,2016
Hardeman County,0.04,Associate's degree,2016
Hardeman County,0.04,Graduate or professional degree,2016
Hardeman County,0.46,High school graduate (includes equivalency),2016
Hardeman County,0.05,Less than 9th grade,2016
Hardeman County,0.07,Bachelor's degree,2016
Hardeman County,0.77,Percent high school graduate or higher,2016
Hardin County,0.12,"9th to 12th grade, no diploma",2016
Hardin County,0.13,Percent bachelor's degree or higher,2016
Hardin County,18628.00,Population 25 years and over,2016
Hardin County,0.19,"Some college, no degree",2016
Hardin County,0.05,Graduate or professional degree,2016
Hardin County,0.43,High school graduate (includes equivalency),2016
Hardin County,0.06,Associate's degree,2016
Hardin County,0.08,Bachelor's degree,2016
Hardin County,0.80,Percent high school graduate or higher,2016
Hardin County,0.08,Less than 9th grade,2016
Hawkins County,0.10,"9th to 12th grade, no diploma",2016
Hawkins County,0.13,Percent bachelor's degree or higher,2016
Hawkins County,0.19,"Some college, no degree",2016
Hawkins County,0.04,Graduate or professional degree,2016
Hawkins County,40416.00,Population 25 years and over,2016
Hawkins County,0.44,High school graduate (includes equivalency),2016
Hawkins County,0.07,Associate's degree,2016
Hawkins County,0.08,Less than 9th grade,2016
Hawkins County,0.09,Bachelor's degree,2016
Hawkins County,0.82,Percent high school graduate or higher,2016
Haywood County,0.12,Percent bachelor's degree or higher,2016
Haywood County,12534.00,Population 25 years and over,2016
Haywood County,0.13,"9th to 12th grade, no diploma",2016
Haywood County,0.20,"Some college, no degree",2016
Haywood County,0.04,Associate's degree,2016
Haywood County,0.05,Graduate or professional degree,2016
Haywood County,0.45,High school graduate (includes equivalency),2016
Haywood County,0.07,Less than 9th grade,2016
Haywood County,0.07,Bachelor's degree,2016
Haywood County,0.81,Percent high school graduate or higher,2016
Henderson County,0.13,Percent bachelor's degree or higher,2016
Henderson County,0.14,"9th to 12th grade, no diploma",2016
Henderson County,19242.00,Population 25 years and over,2016
Henderson County,0.20,"Some college, no degree",2016
Henderson County,0.40,High school graduate (includes equivalency),2016
Henderson County,0.04,Graduate or professional degree,2016
Henderson County,0.06,Less than 9th grade,2016
Henderson County,0.07,Associate's degree,2016
Henderson County,0.80,Percent high school graduate or higher,2016
Henderson County,0.09,Bachelor's degree,2016
Henry County,0.15,Percent bachelor's degree or higher,2016
Henry County,0.18,"Some college, no degree",2016
Henry County,23226.00,Population 25 years and over,2016
Henry County,0.04,Associate's degree,2016
Henry County,0.47,High school graduate (includes equivalency),2016
Henry County,0.06,Less than 9th grade,2016
Henry County,0.06,Graduate or professional degree,2016
Henry County,0.08,Bachelor's degree,2016
Henry County,0.84,Percent high school graduate or higher,2016
Henry County,0.10,"9th to 12th grade, no diploma",2016
Hickman County,0.11,Percent bachelor's degree or higher,2016
Hickman County,0.15,"9th to 12th grade, no diploma",2016
Hickman County,16829.00,Population 25 years and over,2016
Hickman County,0.18,"Some college, no degree",2016
Hickman County,0.04,Graduate or professional degree,2016
Hickman County,0.42,High school graduate (includes equivalency),2016
Hickman County,0.06,Associate's degree,2016
Hickman County,0.08,Bachelor's degree,2016
Hickman County,0.77,Percent high school graduate or higher,2016
Hickman County,0.08,Less than 9th grade,2016
Houston County,0.11,Percent bachelor's degree or higher,2016
Houston County,0.17,"Some college, no degree",2016
Houston County,0.17,"9th to 12th grade, no diploma",2016
Houston County,0.02,Graduate or professional degree,2016
Houston County,0.04,Associate's degree,2016
Houston County,0.45,High school graduate (includes equivalency),2016
Houston County,5727.00,Population 25 years and over,2016
Houston County,0.06,Less than 9th grade,2016
Houston County,0.77,Percent high school graduate or higher,2016
Houston County,0.09,Bachelor's degree,2016
Humphreys County,0.12,"9th to 12th grade, no diploma",2016
Humphreys County,12762.00,Population 25 years and over,2016
Humphreys County,0.13,Percent bachelor's degree or higher,2016
Humphreys County,0.22,"Some college, no degree",2016
Humphreys County,0.43,High school graduate (includes equivalency),2016
Humphreys County,0.05,Less than 9th grade,2016
Humphreys County,0.06,Graduate or professional degree,2016
Humphreys County,0.06,Associate's degree,2016
Humphreys County,0.07,Bachelor's degree,2016
Humphreys County,0.83,Percent high school graduate or higher,2016
Jackson County,0.12,Less than 9th grade,2016
Jackson County,0.12,"9th to 12th grade, no diploma",2016
Jackson County,0.15,"Some college, no degree",2016
Jackson County,0.03,Graduate or professional degree,2016
Jackson County,0.04,Associate's degree,2016
Jackson County,0.05,Bachelor's degree,2016
Jackson County,0.50,High school graduate (includes equivalency),2016
Jackson County,0.77,Percent high school graduate or higher,2016
Jackson County,8429.00,Population 25 years and over,2016
Jackson County,0.08,Percent bachelor's degree or higher,2016
Jefferson County,0.16,Percent bachelor's degree or higher,2016
Jefferson County,0.22,"Some college, no degree",2016
Jefferson County,36897.00,Population 25 years and over,2016
Jefferson County,0.39,High school graduate (includes equivalency),2016
Jefferson County,0.06,Graduate or professional degree,2016
Jefferson County,0.07,Less than 9th grade,2016
Jefferson County,0.07,Associate's degree,2016
Jefferson County,0.84,Percent high school graduate or higher,2016
Jefferson County,0.09,Bachelor's degree,2016
Jefferson County,0.10,"9th to 12th grade, no diploma",2016
Johnson County,0.10,Percent bachelor's degree or higher,2016
Johnson County,13422.00,Population 25 years and over,2016
Johnson County,0.15,"9th to 12th grade, no diploma",2016
Johnson County,0.18,"Some college, no degree",2016
Johnson County,0.04,Graduate or professional degree,2016
Johnson County,0.42,High school graduate (includes equivalency),2016
Johnson County,0.07,Bachelor's degree,2016
Johnson County,0.07,Associate's degree,2016
Johnson County,0.76,Percent high school graduate or higher,2016
Johnson County,0.09,Less than 9th grade,2016
Knox County,0.14,Graduate or professional degree,2016
Knox County,0.21,"Some college, no degree",2016
Knox County,0.22,Bachelor's degree,2016
Knox County,0.26,High school graduate (includes equivalency),2016
Knox County,297488.00,Population 25 years and over,2016
Knox County,0.03,Less than 9th grade,2016
Knox County,0.36,Percent bachelor's degree or higher,2016
Knox County,0.06,"9th to 12th grade, no diploma",2016
Knox County,0.08,Associate's degree,2016
Knox County,0.91,Percent high school graduate or higher,2016
Lake County,0.15,"Some college, no degree",2016
Lake County,0.17,"9th to 12th grade, no diploma",2016
Lake County,0.03,Graduate or professional degree,2016
Lake County,0.04,Associate's degree,2016
Lake County,0.46,High school graduate (includes equivalency),2016
Lake County,5685.00,Population 25 years and over,2016
Lake County,0.06,Bachelor's degree,2016
Lake County,0.73,Percent high school graduate or higher,2016
Lake County,0.09,Percent bachelor's degree or higher,2016
Lake County,0.10,Less than 9th grade,2016
Lauderdale County,0.16,"9th to 12th grade, no diploma",2016
Lauderdale County,0.17,"Some college, no degree",2016
Lauderdale County,18415.00,Population 25 years and over,2016
Lauderdale County,0.03,Graduate or professional degree,2016
Lauderdale County,0.05,Associate's degree,2016
Lauderdale County,0.45,High school graduate (includes equivalency),2016
Lauderdale County,0.05,Bachelor's degree,2016
Lauderdale County,0.76,Percent high school graduate or higher,2016
Lauderdale County,0.09,Less than 9th grade,2016
Lauderdale County,0.09,Percent bachelor's degree or higher,2016
Lawrence County,0.10,"9th to 12th grade, no diploma",2016
Lawrence County,0.10,Less than 9th grade,2016
Lawrence County,0.12,Percent bachelor's degree or higher,2016
Lawrence County,0.19,"Some college, no degree",2016
Lawrence County,28517.00,Population 25 years and over,2016
Lawrence County,0.05,Graduate or professional degree,2016
Lawrence County,0.43,High school graduate (includes equivalency),2016
Lawrence County,0.07,Associate's degree,2016
Lawrence County,0.07,Bachelor's degree,2016
Lawrence County,0.80,Percent high school graduate or higher,2016
Lewis County,0.10,"9th to 12th grade, no diploma",2016
Lewis County,0.12,Percent bachelor's degree or higher,2016
Lewis County,0.21,"Some college, no degree",2016
Lewis County,0.04,Graduate or professional degree,2016
Lewis County,0.43,High school graduate (includes equivalency),2016
Lewis County,0.07,Associate's degree,2016
Lewis County,0.07,Less than 9th grade,2016
Lewis County,8397.00,Population 25 years and over,2016
Lewis County,0.09,Bachelor's degree,2016
Lewis County,0.83,Percent high school graduate or higher,2016
Lincoln County,0.12,"9th to 12th grade, no diploma",2016
Lincoln County,0.12,Bachelor's degree,2016
Lincoln County,0.18,Percent bachelor's degree or higher,2016
Lincoln County,0.18,"Some college, no degree",2016
Lincoln County,23553.00,Population 25 years and over,2016
Lincoln County,0.41,High school graduate (includes equivalency),2016
Lincoln County,0.05,Less than 9th grade,2016
Lincoln County,0.06,Graduate or professional degree,2016
Lincoln County,0.06,Associate's degree,2016
Lincoln County,0.83,Percent high school graduate or higher,2016
Loudon County,0.16,Bachelor's degree,2016
Loudon County,0.20,"Some college, no degree",2016
Loudon County,0.25,Percent bachelor's degree or higher,2016
Loudon County,0.33,High school graduate (includes equivalency),2016
Loudon County,37123.00,Population 25 years and over,2016
Loudon County,0.07,Less than 9th grade,2016
Loudon County,0.07,Associate's degree,2016
Loudon County,0.08,"9th to 12th grade, no diploma",2016
Loudon County,0.85,Percent high school graduate or higher,2016
Loudon County,0.10,Graduate or professional degree,2016
Macon County,0.10,Less than 9th grade,2016
Macon County,0.14,"9th to 12th grade, no diploma",2016
Macon County,15384.00,Population 25 years and over,2016
Macon County,0.15,"Some college, no degree",2016
Macon County,0.04,Graduate or professional degree,2016
Macon County,0.45,High school graduate (includes equivalency),2016
Macon County,0.05,Bachelor's degree,2016
Macon County,0.06,Associate's degree,2016
Macon County,0.76,Percent high school graduate or higher,2016
Macon County,0.09,Percent bachelor's degree or higher,2016
Madison County,0.17,Bachelor's degree,2016
Madison County,0.22,"Some college, no degree",2016
Madison County,0.26,Percent bachelor's degree or higher,2016
Madison County,0.03,Less than 9th grade,2016
Madison County,0.34,High school graduate (includes equivalency),2016
Madison County,64505.00,Population 25 years and over,2016
Madison County,0.07,Associate's degree,2016
Madison County,0.08,"9th to 12th grade, no diploma",2016
Madison County,0.09,Graduate or professional degree,2016
Madison County,0.89,Percent high school graduate or higher,2016
Marion County,0.12,Percent bachelor's degree or higher,2016
Marion County,0.13,"9th to 12th grade, no diploma",2016
Marion County,20200.00,Population 25 years and over,2016
Marion County,0.23,"Some college, no degree",2016
Marion County,0.37,High school graduate (includes equivalency),2016
Marion County,0.04,Graduate or professional degree,2016
Marion County,0.06,Associate's degree,2016
Marion County,0.78,Percent high school graduate or higher,2016
Marion County,0.08,Bachelor's degree,2016
Marion County,0.09,Less than 9th grade,2016
Marshall County,0.11,Bachelor's degree,2016
Marshall County,0.14,Percent bachelor's degree or higher,2016
Marshall County,0.20,"Some college, no degree",2016
Marshall County,21409.00,Population 25 years and over,2016
Marshall County,0.04,Graduate or professional degree,2016
Marshall County,0.42,High school graduate (includes equivalency),2016
Marshall County,0.07,Less than 9th grade,2016
Marshall County,0.08,Associate's degree,2016
Marshall County,0.84,Percent high school graduate or higher,2016
Marshall County,0.09,"9th to 12th grade, no diploma",2016
Maury County,0.13,Bachelor's degree,2016
Maury County,0.20,Percent bachelor's degree or higher,2016
Maury County,0.24,"Some college, no degree",2016
Maury County,0.36,High school graduate (includes equivalency),2016
Maury County,0.05,Less than 9th grade,2016
Maury County,58817.00,Population 25 years and over,2016
Maury County,0.07,Graduate or professional degree,2016
Maury County,0.07,"9th to 12th grade, no diploma",2016
Maury County,0.88,Percent high school graduate or higher,2016
Maury County,0.09,Associate's degree,2016
McMinn County,0.11,"9th to 12th grade, no diploma",2016
McMinn County,0.14,Percent bachelor's degree or higher,2016
McMinn County,0.18,"Some college, no degree",2016
McMinn County,36650.00,Population 25 years and over,2016
McMinn County,0.05,Graduate or professional degree,2016
