district_number,district_name,school_number,school_name,subgroup,grad_cohort,dropout_count,dropout_rate
30,Benton County,0,All Schools,Black or African American,8,,
30,Benton County,0,All Schools,Black/Hispanic/Native American,11,3,27.3
30,Benton County,0,All Schools,Economically Disadvantaged,83,5,6
30,Benton County,0,All Schools,Female,79,3,3.8
30,Benton County,0,All Schools,Hispanic,3,,
30,Benton County,0,All Schools,Male,81,4,4.9
30,Benton County,0,All Schools,Non-Black/Hispanic/Native American,149,4,2.7
30,Benton County,0,All Schools,Non-Economically Disadvantaged,77,2,2.6
30,Benton County,0,All Schools,Non-English Learners,160,7,4.4
30,Benton County,0,All Schools,Non-Students with Disabilities,128,6,4.7
30,Benton County,0,All Schools,Students with Disabilities,32,1,3.1
30,Benton County,0,All Schools,White,149,4,2.7
40,Bledsoe County,0,All Schools,All Students,121,5,4.1
40,Bledsoe County,0,All Schools,American Indian or Alaska Native,2,,
40,Bledsoe County,0,All Schools,Black or African American,4,,
40,Bledsoe County,0,All Schools,Black/Hispanic/Native American,11,0,0
40,Bledsoe County,0,All Schools,Economically Disadvantaged,56,4,7.1
40,Bledsoe County,0,All Schools,English Learners,3,,
40,Bledsoe County,0,All Schools,Female,49,2,4.1
40,Bledsoe County,0,All Schools,Hispanic,5,,
40,Bledsoe County,0,All Schools,Male,72,3,4.2
40,Bledsoe County,0,All Schools,Migrant,1,,
40,Bledsoe County,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
40,Bledsoe County,0,All Schools,Non-Black/Hispanic/Native American,110,5,4.5
40,Bledsoe County,0,All Schools,Non-Economically Disadvantaged,65,1,1.5
40,Bledsoe County,0,All Schools,Non-English Learners,118,5,4.2
40,Bledsoe County,0,All Schools,Non-Students with Disabilities,94,5,5.3
40,Bledsoe County,0,All Schools,Students with Disabilities,27,0,0
40,Bledsoe County,0,All Schools,White,109,5,4.6
50,Blount County,0,All Schools,All Students,794,34,4.3
50,Blount County,0,All Schools,American Indian or Alaska Native,6,,
50,Blount County,0,All Schools,Asian,7,,
50,Blount County,0,All Schools,Black or African American,17,0,0
50,Blount County,0,All Schools,Black/Hispanic/Native American,53,1,1.9
50,Blount County,0,All Schools,Economically Disadvantaged,257,20,7.8
50,Blount County,0,All Schools,English Learners,10,0,0
50,Blount County,0,All Schools,Female,401,10,2.5
50,Blount County,0,All Schools,Hispanic,30,0,0
50,Blount County,0,All Schools,Male,393,24,6.1
50,Blount County,0,All Schools,Native Hawaiian or Other Pacific Islander,2,,
50,Blount County,0,All Schools,Non-Black/Hispanic/Native American,741,33,4.5
50,Blount County,0,All Schools,Non-Economically Disadvantaged,537,14,2.6
50,Blount County,0,All Schools,Non-English Learners,784,34,4.3
50,Blount County,0,All Schools,Non-Students with Disabilities,680,21,3.1
50,Blount County,0,All Schools,Students with Disabilities,114,13,11.4
50,Blount County,0,All Schools,White,732,33,4.5
51,Alcoa,0,All Schools,All Students,172,1,0.6
51,Alcoa,0,All Schools,American Indian or Alaska Native,1,,
51,Alcoa,0,All Schools,Asian,3,,
51,Alcoa,0,All Schools,Black or African American,59,0,0
51,Alcoa,0,All Schools,Black/Hispanic/Native American,73,0,0
51,Alcoa,0,All Schools,Economically Disadvantaged,66,1,1.5
51,Alcoa,0,All Schools,English Learners,2,,
51,Alcoa,0,All Schools,Female,82,0,0
51,Alcoa,0,All Schools,Hispanic,13,0,0
51,Alcoa,0,All Schools,Male,90,1,1.1
51,Alcoa,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
51,Alcoa,0,All Schools,Non-Black/Hispanic/Native American,99,1,1
51,Alcoa,0,All Schools,Non-Economically Disadvantaged,106,0,0
51,Alcoa,0,All Schools,Non-English Learners,170,1,0.6
51,Alcoa,0,All Schools,Non-Students with Disabilities,155,1,0.6
51,Alcoa,0,All Schools,Students with Disabilities,17,0,0
51,Alcoa,0,All Schools,White,95,1,1.1
52,Maryville,0,All Schools,All Students,420,12,2.9
52,Maryville,0,All Schools,American Indian or Alaska Native,0,,
52,Maryville,0,All Schools,Asian,12,0,0
52,Maryville,0,All Schools,Black or African American,20,1,5
52,Maryville,0,All Schools,Black/Hispanic/Native American,42,2,4.8
52,Maryville,0,All Schools,Economically Disadvantaged,77,9,11.7
52,Maryville,0,All Schools,English Learners,8,,
52,Maryville,0,All Schools,Female,200,5,2.5
52,Maryville,0,All Schools,Hispanic,22,1,4.5
52,Maryville,0,All Schools,Male,220,7,3.2
52,Maryville,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
52,Maryville,0,All Schools,Non-Black/Hispanic/Native American,378,10,2.6
52,Maryville,0,All Schools,Non-Economically Disadvantaged,343,3,0.9
52,Maryville,0,All Schools,Non-English Learners,412,12,2.9
52,Maryville,0,All Schools,Non-Students with Disabilities,357,7,2
52,Maryville,0,All Schools,Students with Disabilities,63,5,7.9
52,Maryville,0,All Schools,White,365,10,2.7
60,Bradley County,0,All Schools,All Students,826,38,4.6
60,Bradley County,0,All Schools,American Indian or Alaska Native,1,,
60,Bradley County,0,All Schools,Asian,3,,
60,Bradley County,0,All Schools,Black or African American,32,1,3.1
60,Bradley County,0,All Schools,Black/Hispanic/Native American,71,3,4.2
60,Bradley County,0,All Schools,Economically Disadvantaged,287,27,9.4
60,Bradley County,0,All Schools,English Learners,5,,
60,Bradley County,0,All Schools,Female,385,15,3.9
60,Bradley County,0,All Schools,Hispanic,38,2,5.3
60,Bradley County,0,All Schools,Male,441,23,5.2
60,Bradley County,0,All Schools,Native Hawaiian or Other Pacific Islander,2,,
60,Bradley County,0,All Schools,Non-Black/Hispanic/Native American,755,35,4.6
60,Bradley County,0,All Schools,Non-Economically Disadvantaged,539,11,2
60,Bradley County,0,All Schools,Non-English Learners,821,38,4.6
60,Bradley County,0,All Schools,Non-Students with Disabilities,745,30,4
60,Bradley County,0,All Schools,Students with Disabilities,81,8,9.9
60,Bradley County,0,All Schools,White,750,35,4.7
61,Cleveland,0,All Schools,All Students,413,25,6.1
61,Cleveland,0,All Schools,American Indian or Alaska Native,5,,
61,Cleveland,0,All Schools,Asian,9,,
61,Cleveland,0,All Schools,Black or African American,69,4,5.8
61,Cleveland,0,All Schools,Black/Hispanic/Native American,152,10,6.6
61,Cleveland,0,All Schools,Economically Disadvantaged,182,16,8.8
61,Cleveland,0,All Schools,English Learners,28,6,21.4
61,Cleveland,0,All Schools,Female,189,12,6.3
61,Cleveland,0,All Schools,Hispanic,78,6,7.7
61,Cleveland,0,All Schools,Male,224,13,5.8
61,Cleveland,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
61,Cleveland,0,All Schools,Non-Black/Hispanic/Native American,261,15,5.7
61,Cleveland,0,All Schools,Non-Economically Disadvantaged,231,9,3.9
61,Cleveland,0,All Schools,Non-English Learners,385,19,4.9
61,Cleveland,0,All Schools,Non-Students with Disabilities,353,19,5.4
61,Cleveland,0,All Schools,Students with Disabilities,60,6,10
61,Cleveland,0,All Schools,White,251,15,6
70,Campbell County,0,All Schools,All Students,407,7,1.7
70,Campbell County,0,All Schools,Asian,1,,
70,Campbell County,0,All Schools,Black or African American,1,,
70,Campbell County,0,All Schools,Black/Hispanic/Native American,3,,
70,Campbell County,0,All Schools,Economically Disadvantaged,211,4,1.9
70,Campbell County,0,All Schools,English Learners,0,,
70,Campbell County,0,All Schools,Female,202,3,1.5
70,Campbell County,0,All Schools,Hispanic,2,,
70,Campbell County,0,All Schools,Male,205,4,2
70,Campbell County,0,All Schools,Non-Black/Hispanic/Native American,404,7,1.7
70,Campbell County,0,All Schools,Non-Economically Disadvantaged,196,3,1.5
70,Campbell County,0,All Schools,Non-English Learners,407,7,1.7
70,Campbell County,0,All Schools,Non-Students with Disabilities,353,6,1.7
70,Campbell County,0,All Schools,Students with Disabilities,54,1,1.9
70,Campbell County,0,All Schools,White,403,7,1.7
80,Cannon County,0,All Schools,All Students,144,7,4.9
80,Cannon County,0,All Schools,Asian,1,,
80,Cannon County,0,All Schools,Black or African American,1,,
80,Cannon County,0,All Schools,Black/Hispanic/Native American,7,,
80,Cannon County,0,All Schools,Economically Disadvantaged,50,2,4
80,Cannon County,0,All Schools,English Learners,1,,
80,Cannon County,0,All Schools,Female,65,1,1.5
80,Cannon County,0,All Schools,Hispanic,6,,
80,Cannon County,0,All Schools,Male,79,6,7.6
80,Cannon County,0,All Schools,Non-Black/Hispanic/Native American,137,7,5.1
80,Cannon County,0,All Schools,Non-Economically Disadvantaged,94,5,5.3
80,Cannon County,0,All Schools,Non-English Learners,143,7,4.9
80,Cannon County,0,All Schools,Non-Students with Disabilities,119,4,3.4
80,Cannon County,0,All Schools,Students with Disabilities,25,3,12
80,Cannon County,0,All Schools,White,136,7,5.1
90,Carroll County,0,All Schools,All Students,10,6,60
90,Carroll County,0,All Schools,Black or African American,3,,
90,Carroll County,0,All Schools,Black/Hispanic/Native American,3,,
90,Carroll County,0,All Schools,Economically Disadvantaged,8,,
90,Carroll County,0,All Schools,Female,5,,
90,Carroll County,0,All Schools,Male,5,,
90,Carroll County,0,All Schools,Non-Black/Hispanic/Native American,7,,
90,Carroll County,0,All Schools,Non-Economically Disadvantaged,2,,
90,Carroll County,0,All Schools,Non-English Learners,10,6,60
90,Carroll County,0,All Schools,Non-Students with Disabilities,9,,
90,Carroll County,0,All Schools,Students with Disabilities,1,,
90,Carroll County,0,All Schools,White,7,,
92,Hollow Rock - Bruceton,0,All Schools,All Students,44,1,2.3
92,Hollow Rock - Bruceton,0,All Schools,American Indian or Alaska Native,1,,
92,Hollow Rock - Bruceton,0,All Schools,Black or African American,4,,
92,Hollow Rock - Bruceton,0,All Schools,Black/Hispanic/Native American,5,,
92,Hollow Rock - Bruceton,0,All Schools,Economically Disadvantaged,20,1,5
92,Hollow Rock - Bruceton,0,All Schools,Female,18,0,0
92,Hollow Rock - Bruceton,0,All Schools,Male,26,1,3.8
92,Hollow Rock - Bruceton,0,All Schools,Non-Black/Hispanic/Native American,39,1,2.6
92,Hollow Rock - Bruceton,0,All Schools,Non-Economically Disadvantaged,24,0,0
92,Hollow Rock - Bruceton,0,All Schools,Non-English Learners,44,1,2.3
92,Hollow Rock - Bruceton,0,All Schools,Non-Students with Disabilities,40,0,0
92,Hollow Rock - Bruceton,0,All Schools,Students with Disabilities,4,,
92,Hollow Rock - Bruceton,0,All Schools,White,39,1,2.6
93,Huntingdon Special School District,0,All Schools,All Students,78,0,0
93,Huntingdon Special School District,0,All Schools,American Indian or Alaska Native,1,,
93,Huntingdon Special School District,0,All Schools,Asian,0,,
93,Huntingdon Special School District,0,All Schools,Black or African American,11,0,0
93,Huntingdon Special School District,0,All Schools,Black/Hispanic/Native American,13,0,0
93,Huntingdon Special School District,0,All Schools,Economically Disadvantaged,34,0,0
93,Huntingdon Special School District,0,All Schools,Female,42,0,0
93,Huntingdon Special School District,0,All Schools,Hispanic,1,,
93,Huntingdon Special School District,0,All Schools,Male,36,0,0
93,Huntingdon Special School District,0,All Schools,Non-Black/Hispanic/Native American,65,0,0
93,Huntingdon Special School District,0,All Schools,Non-Economically Disadvantaged,44,0,0
93,Huntingdon Special School District,0,All Schools,Non-English Learners,78,0,0
93,Huntingdon Special School District,0,All Schools,Non-Students with Disabilities,71,0,0
93,Huntingdon Special School District,0,All Schools,Students with Disabilities,7,,
93,Huntingdon Special School District,0,All Schools,White,65,0,0
94,McKenzie,0,All Schools,All Students,112,3,2.7
94,McKenzie,0,All Schools,Asian,2,,
94,McKenzie,0,All Schools,Black or African American,20,0,0
94,McKenzie,0,All Schools,Black/Hispanic/Native American,23,0,0
94,McKenzie,0,All Schools,Economically Disadvantaged,43,1,2.3
94,McKenzie,0,All Schools,English Learners,1,,
94,McKenzie,0,All Schools,Female,61,2,3.3
94,McKenzie,0,All Schools,Hispanic,3,,
94,McKenzie,0,All Schools,Male,51,1,2
94,McKenzie,0,All Schools,Non-Black/Hispanic/Native American,89,3,3.4
94,McKenzie,0,All Schools,Non-Economically Disadvantaged,69,2,2.9
94,McKenzie,0,All Schools,Non-English Learners,111,2,1.8
94,McKenzie,0,All Schools,Non-Students with Disabilities,98,2,2
94,McKenzie,0,All Schools,Students with Disabilities,14,1,7.1
94,McKenzie,0,All Schools,White,87,2,2.3
95,South Carroll,0,All Schools,All Students,17,0,0
95,South Carroll,0,All Schools,Black or African American,1,,
95,South Carroll,0,All Schools,Black/Hispanic/Native American,1,,
95,South Carroll,0,All Schools,Economically Disadvantaged,4,,
95,South Carroll,0,All Schools,Female,11,0,0
95,South Carroll,0,All Schools,Male,6,,
95,South Carroll,0,All Schools,Non-Black/Hispanic/Native American,16,0,0
95,South Carroll,0,All Schools,Non-Economically Disadvantaged,13,0,0
95,South Carroll,0,All Schools,Non-English Learners,17,0,0
95,South Carroll,0,All Schools,Non-Students with Disabilities,15,0,0
95,South Carroll,0,All Schools,Students with Disabilities,2,,
95,South Carroll,0,All Schools,White,16,0,0
97,West Carroll Sp Dist,0,All Schools,All Students,71,5,7
97,West Carroll Sp Dist,0,All Schools,Black or African American,6,,
97,West Carroll Sp Dist,0,All Schools,Black/Hispanic/Native American,6,,
97,West Carroll Sp Dist,0,All Schools,Economically Disadvantaged,32,5,15.6
97,West Carroll Sp Dist,0,All Schools,Female,33,3,9.1
97,West Carroll Sp Dist,0,All Schools,Male,38,2,5.3
97,West Carroll Sp Dist,0,All Schools,Non-Black/Hispanic/Native American,65,5,7.7
97,West Carroll Sp Dist,0,All Schools,Non-Economically Disadvantaged,39,0,0
97,West Carroll Sp Dist,0,All Schools,Non-English Learners,71,5,7
97,West Carroll Sp Dist,0,All Schools,Non-Students with Disabilities,60,3,5
97,West Carroll Sp Dist,0,All Schools,Students with Disabilities,11,2,18.2
97,West Carroll Sp Dist,0,All Schools,White,65,5,7.7
100,Carter County,0,All Schools,All Students,367,24,6.5
100,Carter County,0,All Schools,American Indian or Alaska Native,2,,
100,Carter County,0,All Schools,Asian,1,,
100,Carter County,0,All Schools,Black or African American,3,,
100,Carter County,0,All Schools,Black/Hispanic/Native American,7,,
100,Carter County,0,All Schools,Economically Disadvantaged,183,17,9.3
100,Carter County,0,All Schools,English Learners,1,,
100,Carter County,0,All Schools,Female,170,6,3.5
100,Carter County,0,All Schools,Hispanic,2,,
100,Carter County,0,All Schools,Male,197,18,9.1
100,Carter County,0,All Schools,Non-Black/Hispanic/Native American,360,24,6.7
100,Carter County,0,All Schools,Non-Economically Disadvantaged,184,7,3.8
100,Carter County,0,All Schools,Non-English Learners,366,23,6.3
100,Carter County,0,All Schools,Non-Students with Disabilities,303,16,5.3
100,Carter County,0,All Schools,Students with Disabilities,64,8,12.5
100,Carter County,0,All Schools,White,359,24,6.7
101,Elizabethton,0,All Schools,All Students,198,3,1.5
101,Elizabethton,0,All Schools,American Indian or Alaska Native,1,,
101,Elizabethton,0,All Schools,Asian,2,,
101,Elizabethton,0,All Schools,Black or African American,15,0,0
101,Elizabethton,0,All Schools,Black/Hispanic/Native American,18,0,0
101,Elizabethton,0,All Schools,Economically Disadvantaged,74,2,2.7
101,Elizabethton,0,All Schools,Female,95,0,0
101,Elizabethton,0,All Schools,Hispanic,2,,
101,Elizabethton,0,All Schools,Male,103,3,2.9
101,Elizabethton,0,All Schools,Native Hawaiian or Other Pacific Islander,0,,
101,Elizabethton,0,All Schools,Non-Black/Hispanic/Native American,180,3,1.7
101,Elizabethton,0,All Schools,Non-Economically Disadvantaged,124,1,0.8
101,Elizabethton,0,All Schools,Non-English Learners,198,3,1.5
101,Elizabethton,0,All Schools,Non-Students with Disabilities,176,3,1.7
101,Elizabethton,0,All Schools,Students with Disabilities,22,0,0
101,Elizabethton,0,All Schools,White,178,3,1.7
110,Cheatham County,0,All Schools,All Students,444,24,5.4
110,Cheatham County,0,All Schools,American Indian or Alaska Native,3,,
110,Cheatham County,0,All Schools,Asian,2,,
110,Cheatham County,0,All Schools,Black or African American,12,0,0
110,Cheatham County,0,All Schools,Black/Hispanic/Native American,34,2,5.9
110,Cheatham County,0,All Schools,Economically Disadvantaged,151,18,11.9
110,Cheatham County,0,All Schools,English Learners,5,,
110,Cheatham County,0,All Schools,Female,215,12,5.6
110,Cheatham County,0,All Schools,Hispanic,19,2,10.5
110,Cheatham County,0,All Schools,Male,229,12,5.2
110,Cheatham County,0,All Schools,Non-Black/Hispanic/Native American,410,22,5.4
110,Cheatham County,0,All Schools,Non-Economically Disadvantaged,293,6,2
110,Cheatham County,0,All Schools,Non-English Learners,439,23,5.2
110,Cheatham County,0,All Schools,Non-Students with Disabilities,390,22,5.6
110,Cheatham County,0,All Schools,Students with Disabilities,54,2,3.7
110,Cheatham County,0,All Schools,White,408,22,5.4
120,Chester County,0,All Schools,All Students,219,5,2.3
120,Chester County,0,All Schools,American Indian or Alaska Native,1,,
120,Chester County,0,All Schools,Asian,2,,
120,Chester County,0,All Schools,Black or African American,26,0,0
120,Chester County,0,All Schools,Black/Hispanic/Native American,29,0,0
120,Chester County,0,All Schools,Economically Disadvantaged,76,2,2.6
120,Chester County,0,All Schools,Female,106,1,0.9
120,Chester County,0,All Schools,Hispanic,2,,
120,Chester County,0,All Schools,Male,113,4,3.5
120,Chester County,0,All Schools,Non-Black/Hispanic/Native American,190,5,2.6
120,Chester County,0,All Schools,Non-Economically Disadvantaged,143,3,2.1
120,Chester County,0,All Schools,Non-English Learners,219,5,2.3
120,Chester County,0,All Schools,Non-Students with Disabilities,196,4,2
120,Chester County,0,All Schools,Students with Disabilities,23,1,4.3
120,Chester County,0,All Schools,White,188,5,2.7
130,Claiborne County,0,All Schools,All Students,287,8,2.8
130,Claiborne County,0,All Schools,American Indian or Alaska Native,1,,
130,Claiborne County,0,All Schools,Asian,1,,
130,Claiborne County,0,All Schools,Black or African American,3,,
130,Claiborne County,0,All Schools,Black/Hispanic/Native American,8,,
130,Claiborne County,0,All Schools,Economically Disadvantaged,129,6,4.7
130,Claiborne County,0,All Schools,Female,135,4,3
130,Claiborne County,0,All Schools,Hispanic,4,,
130,Claiborne County,0,All Schools,Male,152,4,2.6
130,Claiborne County,0,All Schools,Non-Black/Hispanic/Native American,279,8,2.9
130,Claiborne County,0,All Schools,Non-Economically Disadvantaged,158,2,1.3
130,Claiborne County,0,All Schools,Non-English Learners,287,8,2.8
130,Claiborne County,0,All Schools,Non-Students with Disabilities,254,8,3.1
130,Claiborne County,0,All Schools,Students with Disabilities,33,0,0
130,Claiborne County,0,All Schools,White,278,8,2.9
140,Clay County,0,All Schools,All Students,89,1,1.1
140,Clay County,0,All Schools,Black or African American,3,,
140,Clay County,0,All Schools,Black/Hispanic/Native American,4,,
140,Clay County,0,All Schools,Economically Disadvantaged,47,1,2.1
140,Clay County,0,All Schools,Female,42,0,0
140,Clay County,0,All Schools,Hispanic,1,,
140,Clay County,0,All Schools,Male,47,1,2.1
140,Clay County,0,All Schools,Migrant,3,,
140,Clay County,0,All Schools,Non-Black/Hispanic/Native American,85,0,0
140,Clay County,0,All Schools,Non-Economically Disadvantaged,42,0,0
140,Clay County,0,All Schools,Non-English Learners,89,1,1.1
140,Clay County,0,All Schools,Non-Students with Disabilities,79,1,1.3
140,Clay County,0,All Schools,Students with Disabilities,10,0,0
140,Clay County,0,All Schools,White,85,0,0
150,Cocke County,0,All Schools,All Students,382,18,4.7
150,Cocke County,0,All Schools,Asian,2,,
150,Cocke County,0,All Schools,Black or African American,10,0,0
150,Cocke County,0,All Schools,Black/Hispanic/Native American,16,0,0
150,Cocke County,0,All Schools,Economically Disadvantaged,211,14,6.6
150,Cocke County,0,All Schools,English Learners,2,,
150,Cocke County,0,All Schools,Female,170,4,2.4
150,Cocke County,0,All Schools,Hispanic,6,,
150,Cocke County,0,All Schools,Male,212,14,6.6
150,Cocke County,0,All Schools,Migrant,1,,
150,Cocke County,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
150,Cocke County,0,All Schools,Non-Black/Hispanic/Native American,366,18,4.9
150,Cocke County,0,All Schools,Non-Economically Disadvantaged,171,4,2.3
150,Cocke County,0,All Schools,Non-English Learners,380,18,4.7
150,Cocke County,0,All Schools,Non-Students with Disabilities,319,13,4.1
150,Cocke County,0,All Schools,Students with Disabilities,63,5,7.9
150,Cocke County,0,All Schools,White,363,18,5
160,Coffee County,0,All Schools,All Students,437,41,9.4
160,Coffee County,0,All Schools,American Indian or Alaska Native,2,,
160,Coffee County,0,All Schools,Asian,7,,
160,Coffee County,0,All Schools,Black or African American,16,0,0
160,Coffee County,0,All Schools,Black/Hispanic/Native American,48,1,2.1
160,Coffee County,0,All Schools,Economically Disadvantaged,180,23,12.8
160,Coffee County,0,All Schools,English Learners,9,,
160,Coffee County,0,All Schools,Female,211,13,6.2
160,Coffee County,0,All Schools,Hispanic,30,1,3.3
160,Coffee County,0,All Schools,Male,226,28,12.4
160,Coffee County,0,All Schools,Non-Black/Hispanic/Native American,389,40,10.3
160,Coffee County,0,All Schools,Non-Economically Disadvantaged,257,18,7
160,Coffee County,0,All Schools,Non-English Learners,428,41,9.6
160,Coffee County,0,All Schools,Non-Students with Disabilities,381,28,7.3
160,Coffee County,0,All Schools,Students with Disabilities,56,13,23.2
160,Coffee County,0,All Schools,White,382,40,10.5
162,Tullahoma,0,All Schools,All Students,251,15,6
162,Tullahoma,0,All Schools,American Indian or Alaska Native,2,,
162,Tullahoma,0,All Schools,Asian,6,,
162,Tullahoma,0,All Schools,Black or African American,29,2,6.9
162,Tullahoma,0,All Schools,Black/Hispanic/Native American,45,2,4.4
162,Tullahoma,0,All Schools,Economically Disadvantaged,79,12,15.2
162,Tullahoma,0,All Schools,English Learners,6,,
162,Tullahoma,0,All Schools,Female,113,3,2.7
162,Tullahoma,0,All Schools,Hispanic,14,0,0
162,Tullahoma,0,All Schools,Male,138,12,8.7
162,Tullahoma,0,All Schools,Native Hawaiian or Other Pacific Islander,2,,
162,Tullahoma,0,All Schools,Non-Black/Hispanic/Native American,206,13,6.3
162,Tullahoma,0,All Schools,Non-Economically Disadvantaged,172,3,1.7
162,Tullahoma,0,All Schools,Non-English Learners,245,15,6.1
162,Tullahoma,0,All Schools,Non-Students with Disabilities,230,12,5.2
162,Tullahoma,0,All Schools,Students with Disabilities,21,3,14.3
162,Tullahoma,0,All Schools,White,198,13,6.6
170,Crockett County,0,All Schools,All Students,220,5,2.3
170,Crockett County,0,All Schools,Asian,1,,
170,Crockett County,0,All Schools,Black or African American,36,0,0
170,Crockett County,0,All Schools,Black/Hispanic/Native American,74,1,1.4
170,Crockett County,0,All Schools,Economically Disadvantaged,109,4,3.7
170,Crockett County,0,All Schools,English Learners,8,,
170,Crockett County,0,All Schools,Female,103,2,1.9
170,Crockett County,0,All Schools,Hispanic,38,1,2.6
170,Crockett County,0,All Schools,Male,117,3,2.6
170,Crockett County,0,All Schools,Migrant,1,,
170,Crockett County,0,All Schools,Non-Black/Hispanic/Native American,146,4,2.7
170,Crockett County,0,All Schools,Non-Economically Disadvantaged,111,1,0.9
170,Crockett County,0,All Schools,Non-English Learners,212,5,2.4
170,Crockett County,0,All Schools,Non-Students with Disabilities,193,3,1.6
170,Crockett County,0,All Schools,Students with Disabilities,27,2,7.4
170,Crockett County,0,All Schools,White,145,4,2.8
180,Cumberland County,0,All Schools,All Students,504,33,6.5
180,Cumberland County,0,All Schools,American Indian or Alaska Native,4,,
180,Cumberland County,0,All Schools,Asian,2,,
