district,district_name,school,school_name,alternative_school,school_year,student_group,students_iss,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_iss,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
10,Anderson County,70,Norris Elementary,No,2020,English Language Learner,0,0,0,0,0,1,0,0,0,0,0
10,Anderson County,70,Norris Elementary,No,2020,Student with Disabilities,2,2,0,0,0,31,6.5,6.5,0,0,0
10,Anderson County,75,Norris Middle School,No,2020,Black/Hispanic/Native American,1,2,0,0,0,34,2.9,5.9,0,0,0
10,Anderson County,75,Norris Middle School,No,2020,Economically Disadvantaged,23,6,0,0,1,131,17.6,4.6,0,0,0.8
10,Anderson County,75,Norris Middle School,No,2020,English Language Learner,0,0,0,0,0,2,0,0,0,0,0
10,Anderson County,75,Norris Middle School,No,2020,Student with Disabilities,11,3,0,0,1,83,13.3,3.6,0,0,1.2
10,Anderson County,80,Norwood Elementary,No,2020,Black/Hispanic/Native American,1,0,0,0,0,31,3.2,0,0,0,0
10,Anderson County,80,Norwood Elementary,No,2020,Economically Disadvantaged,12,6,0,0,0,151,7.9,4,0,0,0
10,Anderson County,80,Norwood Elementary,No,2020,Student with Disabilities,8,4,0,0,0,68,11.8,5.9,0,0,0
10,Anderson County,85,Norwood Middle School,No,2020,Black/Hispanic/Native American,1,1,0,0,0,14,7.1,7.1,0,0,0
10,Anderson County,85,Norwood Middle School,No,2020,Economically Disadvantaged,4,9,0,0,1,100,4,9,0,0,1
10,Anderson County,85,Norwood Middle School,No,2020,Student with Disabilities,1,4,0,0,0,40,2.5,10,0,0,0
10,Anderson County,,,,2020,Black/Hispanic/Native American,35,28,0,0,1,433,8.1,6.5,0,0,0.2
10,Anderson County,,,,2020,Economically Disadvantaged,205,172,0,0,8,2419,8.5,7.1,0,0,0.3
10,Anderson County,,,,2020,English Language Learner,1,0,0,0,0,51,2,0,0,0,0
10,Anderson County,,,,2020,Student with Disabilities,107,99,0,0,4,1138,9.4,8.7,0,0,0.4
11,Clinton,5,Clinton Elementary,No,2020,Black/Hispanic/Native American,0,1,0,0,0,74,0,1.4,0,0,0
11,Clinton,5,Clinton Elementary,No,2020,Economically Disadvantaged,0,2,0,0,0,130,0,1.5,0,0,0
11,Clinton,5,Clinton Elementary,No,2020,English Language Learner,0,0,0,0,0,6,0,0,0,0,0
11,Clinton,5,Clinton Elementary,No,2020,Student with Disabilities,0,2,0,0,0,70,0,2.9,0,0,0
11,Clinton,10,North Clinton Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,35,0,0,0,0,0
11,Clinton,10,North Clinton Elementary,No,2020,Economically Disadvantaged,1,1,0,0,0,111,0.9,0.9,0,0,0
11,Clinton,10,North Clinton Elementary,No,2020,English Language Learner,0,0,0,0,0,5,0,0,0,0,0
11,Clinton,10,North Clinton Elementary,No,2020,Student with Disabilities,0,0,0,0,0,35,0,0,0,0,0
11,Clinton,15,South Clinton Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,22,0,0,0,0,0
11,Clinton,15,South Clinton Elementary,No,2020,Economically Disadvantaged,2,1,0,0,0,74,2.7,1.4,0,0,0
11,Clinton,15,South Clinton Elementary,No,2020,English Language Learner,0,0,0,0,0,1,0,0,0,0,0
11,Clinton,15,South Clinton Elementary,No,2020,Student with Disabilities,0,1,0,0,0,48,0,2.1,0,0,0
11,Clinton,,,,2020,Black/Hispanic/Native American,0,1,0,0,0,131,0,0.8,0,0,0
11,Clinton,,,,2020,Economically Disadvantaged,3,4,0,0,0,313,1,1.3,0,0,0
11,Clinton,,,,2020,English Language Learner,0,0,0,0,0,12,0,0,0,0,0
11,Clinton,,,,2020,Student with Disabilities,0,3,0,0,0,151,0,2,0,0,0
12,Oak Ridge,15,Glenwood Elementary,No,2020,Black/Hispanic/Native American,0,1,0,0,0,104,0,1,0,0,0
12,Oak Ridge,15,Glenwood Elementary,No,2020,Economically Disadvantaged,0,3,0,0,0,135,0,2.2,0,0,0
12,Oak Ridge,15,Glenwood Elementary,No,2020,English Language Learner,0,0,0,0,0,12,0,0,0,0,0
12,Oak Ridge,15,Glenwood Elementary,No,2020,Student with Disabilities,0,3,0,0,0,67,0,4.5,0,0,0
12,Oak Ridge,25,Jefferson Middle School,No,2020,Black/Hispanic/Native American,33,22,0,0,0,192,17.2,11.5,0,0,0
12,Oak Ridge,25,Jefferson Middle School,No,2020,Economically Disadvantaged,31,25,0,0,0,157,19.7,15.9,0,0,0
12,Oak Ridge,25,Jefferson Middle School,No,2020,English Language Learner,3,1,0,0,0,17,17.6,5.9,0,0,0
12,Oak Ridge,25,Jefferson Middle School,No,2020,Student with Disabilities,12,12,0,0,0,95,12.6,12.6,0,0,0
12,Oak Ridge,30,Linden Elementary,No,2020,Black/Hispanic/Native American,0,3,0,0,0,112,0,2.7,0,0,0
12,Oak Ridge,30,Linden Elementary,No,2020,Economically Disadvantaged,0,0,0,0,0,113,0,0,0,0,0
12,Oak Ridge,30,Linden Elementary,No,2020,English Language Learner,0,0,0,0,0,9,0,0,0,0,0
12,Oak Ridge,30,Linden Elementary,No,2020,Student with Disabilities,0,2,0,0,0,69,0,2.9,0,0,0
12,Oak Ridge,35,Oak Ridge High School,No,2020,Black/Hispanic/Native American,81,44,0,6,5,403,20.1,10.9,0,1.5,1.2
12,Oak Ridge,35,Oak Ridge High School,No,2020,Economically Disadvantaged,74,51,0,5,5,298,24.8,17.1,0,1.7,1.7
12,Oak Ridge,35,Oak Ridge High School,No,2020,English Language Learner,5,6,0,0,0,27,18.5,22.2,0,0,0
12,Oak Ridge,35,Oak Ridge High School,No,2020,Student with Disabilities,51,34,0,2,2,202,25.2,16.8,0,1,1
12,Oak Ridge,40,Robertsville Middle School,No,2020,Black/Hispanic/Native American,46,36,0,0,3,253,18.2,14.2,0,0,1.2
12,Oak Ridge,40,Robertsville Middle School,No,2020,Economically Disadvantaged,46,43,0,0,1,246,18.7,17.5,0,0,0.4
12,Oak Ridge,40,Robertsville Middle School,No,2020,English Language Learner,5,2,0,0,1,20,25,10,0,0,5
12,Oak Ridge,40,Robertsville Middle School,No,2020,Student with Disabilities,20,20,0,0,0,143,14,14,0,0,0
12,Oak Ridge,45,Willow Brook Elementary,No,2020,Black/Hispanic/Native American,0,2,0,0,0,146,0,1.4,0,0,0
12,Oak Ridge,45,Willow Brook Elementary,No,2020,Economically Disadvantaged,0,7,0,0,0,212,0,3.3,0,0,0
12,Oak Ridge,45,Willow Brook Elementary,No,2020,English Language Learner,0,0,0,0,0,16,0,0,0,0,0
12,Oak Ridge,45,Willow Brook Elementary,No,2020,Student with Disabilities,0,6,0,0,0,103,0,5.8,0,0,0
12,Oak Ridge,50,Woodland Elementary,No,2020,Black/Hispanic/Native American,1,4,0,0,0,108,0.9,3.7,0,0,0
12,Oak Ridge,50,Woodland Elementary,No,2020,Economically Disadvantaged,1,4,0,0,0,111,0.9,3.6,0,0,0
12,Oak Ridge,50,Woodland Elementary,No,2020,English Language Learner,0,0,0,0,0,19,0,0,0,0,0
12,Oak Ridge,50,Woodland Elementary,No,2020,Student with Disabilities,0,3,0,0,0,70,0,4.3,0,0,0
12,Oak Ridge,,,,2020,Black/Hispanic/Native American,161,111,0,6,8,1307,12.3,8.5,0,0.5,0.6
12,Oak Ridge,,,,2020,Economically Disadvantaged,152,133,0,5,7,1263,12,10.5,0,0.4,0.6
12,Oak Ridge,,,,2020,English Language Learner,13,9,0,0,1,117,11.1,7.7,0,0,0.9
12,Oak Ridge,,,,2020,Student with Disabilities,83,80,0,2,2,746,11.1,10.7,0,0.3,0.3
20,Bedford County,12,Cascade Elementary,No,2020,Black/Hispanic/Native American,4,1,0,0,0,77,5.2,1.3,0,0,0
20,Bedford County,12,Cascade Elementary,No,2020,Economically Disadvantaged,6,1,0,0,0,134,4.5,0.7,0,0,0
20,Bedford County,12,Cascade Elementary,No,2020,English Language Learner,0,0,0,0,0,13,0,0,0,0,0
20,Bedford County,12,Cascade Elementary,No,2020,Student with Disabilities,2,0,0,0,0,83,2.4,0,0,0,0
20,Bedford County,13,Cascade High School,No,2020,Black/Hispanic/Native American,3,2,0,1,0,80,3.8,2.5,0,1.2,0
20,Bedford County,13,Cascade High School,No,2020,Economically Disadvantaged,1,2,0,1,0,103,1,1.9,0,1,0
20,Bedford County,13,Cascade High School,No,2020,English Language Learner,0,0,0,0,0,8,0,0,0,0,0
20,Bedford County,13,Cascade High School,No,2020,Student with Disabilities,2,1,0,0,0,47,4.3,2.1,0,0,0
20,Bedford County,15,Eakin Elementary,No,2020,Black/Hispanic/Native American,20,1,0,0,0,419,4.8,0.2,0,0,0
20,Bedford County,15,Eakin Elementary,No,2020,Economically Disadvantaged,20,1,0,0,0,282,7.1,0.4,0,0,0
20,Bedford County,15,Eakin Elementary,No,2020,English Language Learner,6,0,0,0,0,169,3.6,0,0,0,0
20,Bedford County,15,Eakin Elementary,No,2020,Student with Disabilities,5,0,0,0,0,68,7.4,0,0,0,0
20,Bedford County,17,Cascade Middle School,No,2020,Black/Hispanic/Native American,2,1,0,0,0,59,3.4,1.7,0,0,0
20,Bedford County,17,Cascade Middle School,No,2020,Economically Disadvantaged,6,9,0,0,1,102,5.9,8.8,0,0,1
20,Bedford County,17,Cascade Middle School,No,2020,English Language Learner,0,0,0,0,0,3,0,0,0,0,0
20,Bedford County,17,Cascade Middle School,No,2020,Student with Disabilities,1,2,0,0,0,28,3.6,7.1,0,0,0
20,Bedford County,20,Shelbyville Central High School,No,2020,Black/Hispanic/Native American,67,27,0,3,3,840,8,3.2,0,0.4,0.4
20,Bedford County,20,Shelbyville Central High School,No,2020,Economically Disadvantaged,56,25,0,1,1,517,10.8,4.8,0,0.2,0.2
20,Bedford County,20,Shelbyville Central High School,No,2020,English Language Learner,10,7,0,1,1,115,8.7,6.1,0,0.9,0.9
20,Bedford County,20,Shelbyville Central High School,No,2020,Student with Disabilities,19,9,0,0,1,176,10.8,5.1,0,0,0.6
20,Bedford County,25,Harris Middle School,No,2020,Black/Hispanic/Native American,93,31,0,4,4,741,12.6,4.2,0,0.5,0.5
20,Bedford County,25,Harris Middle School,No,2020,Economically Disadvantaged,87,29,0,2,3,528,16.5,5.5,0,0.4,0.6
20,Bedford County,25,Harris Middle School,No,2020,English Language Learner,14,4,0,1,1,130,10.8,3.1,0,0.8,0.8
20,Bedford County,25,Harris Middle School,No,2020,Student with Disabilities,14,8,0,0,0,96,14.6,8.3,0,0,0
20,Bedford County,33,Community Elementary School,No,2020,Black/Hispanic/Native American,0,0,0,0,0,102,0,0,0,0,0
20,Bedford County,33,Community Elementary School,No,2020,Economically Disadvantaged,1,0,0,0,0,222,0.5,0,0,0,0
20,Bedford County,33,Community Elementary School,No,2020,English Language Learner,0,0,0,0,0,18,0,0,0,0,0
20,Bedford County,33,Community Elementary School,No,2020,Student with Disabilities,1,0,0,0,0,76,1.3,0,0,0,0
20,Bedford County,35,Community High School,No,2020,Black/Hispanic/Native American,11,0,0,3,3,110,10,0,0,2.7,2.7
20,Bedford County,35,Community High School,No,2020,Economically Disadvantaged,24,2,0,0,0,122,19.7,1.6,0,0,0
20,Bedford County,35,Community High School,No,2020,English Language Learner,0,0,0,0,0,6,0,0,0,0,0
20,Bedford County,35,Community High School,No,2020,Student with Disabilities,11,0,0,0,0,71,15.5,0,0,0,0
20,Bedford County,37,Community Middle School,No,2020,Black/Hispanic/Native American,3,0,0,0,0,82,3.7,0,0,0,0
20,Bedford County,37,Community Middle School,No,2020,Economically Disadvantaged,19,3,0,0,0,132,14.4,2.3,0,0,0
20,Bedford County,37,Community Middle School,No,2020,English Language Learner,1,0,0,0,0,9,11.1,0,0,0,0
20,Bedford County,37,Community Middle School,No,2020,Student with Disabilities,7,1,0,0,0,39,17.9,2.6,0,0,0
20,Bedford County,39,Learning Way Elementary,No,2020,Black/Hispanic/Native American,14,2,0,0,0,380,3.7,0.5,0,0,0
20,Bedford County,39,Learning Way Elementary,No,2020,Economically Disadvantaged,14,2,0,0,0,311,4.5,0.6,0,0,0
20,Bedford County,39,Learning Way Elementary,No,2020,English Language Learner,1,0,0,0,0,162,0.6,0,0,0,0
20,Bedford County,39,Learning Way Elementary,No,2020,Student with Disabilities,4,2,0,0,0,85,4.7,2.4,0,0,0
20,Bedford County,40,East Side Elementary,No,2020,Black/Hispanic/Native American,2,0,0,0,0,290,0.7,0,0,0,0
20,Bedford County,40,East Side Elementary,No,2020,Economically Disadvantaged,3,0,0,0,0,249,1.2,0,0,0,0
20,Bedford County,40,East Side Elementary,No,2020,English Language Learner,0,0,0,0,0,112,0,0,0,0,0
20,Bedford County,40,East Side Elementary,No,2020,Student with Disabilities,0,0,0,0,0,60,0,0,0,0,0
20,Bedford County,53,Liberty Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,129,0,0,0,0,0
20,Bedford County,53,Liberty Elementary,No,2020,Economically Disadvantaged,0,0,0,0,0,290,0,0,0,0,0
20,Bedford County,53,Liberty Elementary,No,2020,English Language Learner,0,0,0,0,0,28,0,0,0,0,0
20,Bedford County,53,Liberty Elementary,No,2020,Student with Disabilities,0,0,0,0,0,81,0,0,0,0,0
20,Bedford County,75,South Side Elementary,No,2020,Black/Hispanic/Native American,0,4,0,0,0,221,0,1.8,0,0,0
20,Bedford County,75,South Side Elementary,No,2020,Economically Disadvantaged,0,1,0,0,0,189,0,0.5,0,0,0
20,Bedford County,75,South Side Elementary,No,2020,English Language Learner,0,1,0,0,0,82,0,1.2,0,0,0
20,Bedford County,75,South Side Elementary,No,2020,Student with Disabilities,0,1,0,0,0,55,0,1.8,0,0,0
20,Bedford County,78,Thomas Magnet Elementary School,No,2020,Black/Hispanic/Native American,1,0,0,0,0,102,1,0,0,0,0
20,Bedford County,78,Thomas Magnet Elementary School,No,2020,Economically Disadvantaged,0,0,0,0,0,63,0,0,0,0,0
20,Bedford County,78,Thomas Magnet Elementary School,No,2020,English Language Learner,0,0,0,0,0,5,0,0,0,0,0
20,Bedford County,78,Thomas Magnet Elementary School,No,2020,Student with Disabilities,0,0,0,0,0,21,0,0,0,0,0
20,Bedford County,,,,2020,Black/Hispanic/Native American,220,68,0,11,10,3540,6.2,1.9,0,0.3,0.3
20,Bedford County,,,,2020,Economically Disadvantaged,239,77,0,4,5,3126,7.6,2.5,0,0.1,0.2
20,Bedford County,,,,2020,English Language Learner,32,12,0,2,2,824,3.9,1.5,0,0.2,0.2
20,Bedford County,,,,2020,Student with Disabilities,66,24,0,0,1,959,6.9,2.5,0,0,0.1
30,Benton County,10,Big Sandy School,No,2020,Black/Hispanic/Native American,0,0,0,0,0,8,0,0,0,0,0
30,Benton County,10,Big Sandy School,No,2020,Economically Disadvantaged,0,0,0,0,0,127,0,0,0,0,0
30,Benton County,10,Big Sandy School,No,2020,English Language Learner,0,0,0,0,0,3,0,0,0,0,0
30,Benton County,10,Big Sandy School,No,2020,Student with Disabilities,0,0,0,0,0,44,0,0,0,0,0
30,Benton County,15,Briarwood School,No,2020,Black/Hispanic/Native American,0,0,0,0,0,31,0,0,0,0,0
30,Benton County,15,Briarwood School,No,2020,Economically Disadvantaged,3,0,0,0,0,181,1.7,0,0,0,0
30,Benton County,15,Briarwood School,No,2020,English Language Learner,0,0,0,0,0,3,0,0,0,0,0
30,Benton County,15,Briarwood School,No,2020,Student with Disabilities,1,0,0,0,0,93,1.1,0,0,0,0
30,Benton County,20,Camden Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,44,0,0,0,0,0
30,Benton County,20,Camden Elementary,No,2020,Economically Disadvantaged,0,0,0,0,0,197,0,0,0,0,0
30,Benton County,20,Camden Elementary,No,2020,Student with Disabilities,0,0,0,0,0,80,0,0,0,0,0
30,Benton County,25,Camden Central High School,No,2020,Black/Hispanic/Native American,0,0,0,1,0,49,0,0,0,2,0
30,Benton County,25,Camden Central High School,No,2020,Economically Disadvantaged,0,0,0,1,0,187,0,0,0,0.5,0
30,Benton County,25,Camden Central High School,No,2020,English Language Learner,0,0,0,0,0,1,0,0,0,0,0
30,Benton County,25,Camden Central High School,No,2020,Student with Disabilities,0,0,0,0,0,103,0,0,0,0,0
30,Benton County,27,Camden Jr High School,No,2020,Black/Hispanic/Native American,4,0,0,0,0,40,10,0,0,0,0
30,Benton County,27,Camden Jr High School,No,2020,Economically Disadvantaged,27,0,0,0,0,175,15.4,0,0,0,0
30,Benton County,27,Camden Jr High School,No,2020,English Language Learner,0,0,0,0,0,2,0,0,0,0,0
30,Benton County,27,Camden Jr High School,No,2020,Student with Disabilities,11,0,0,0,0,70,15.7,0,0,0,0
30,Benton County,30,Holladay Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,15,0,0,0,0,0
30,Benton County,30,Holladay Elementary,No,2020,Economically Disadvantaged,0,0,0,0,0,56,0,0,0,0,0
30,Benton County,30,Holladay Elementary,No,2020,English Language Learner,0,0,0,0,0,1,0,0,0,0,0
30,Benton County,30,Holladay Elementary,No,2020,Student with Disabilities,0,0,0,0,0,35,0,0,0,0,0
30,Benton County,,,,2020,Black/Hispanic/Native American,4,0,0,1,0,185,2.2,0,0,0.5,0
30,Benton County,,,,2020,Economically Disadvantaged,30,0,0,1,0,916,3.3,0,0,0.1,0
30,Benton County,,,,2020,English Language Learner,,,,,,,,,,,
30,Benton County,,,,2020,Student with Disabilities,12,0,0,0,0,425,2.8,0,0,0,0
40,Bledsoe County,5,Bledsoe County High School,No,2020,Black/Hispanic/Native American,3,1,0,0,0,38,7.9,2.6,0,0,0
40,Bledsoe County,5,Bledsoe County High School,No,2020,Economically Disadvantaged,24,8,0,0,0,208,11.5,3.8,0,0,0
40,Bledsoe County,5,Bledsoe County High School,No,2020,English Language Learner,0,0,0,0,0,2,0,0,0,0,0
40,Bledsoe County,5,Bledsoe County High School,No,2020,Student with Disabilities,19,5,0,0,0,113,16.8,4.4,0,0,0
40,Bledsoe County,6,Bledsoe County Middle School,No,2020,Black/Hispanic/Native American,0,0,0,0,0,38,0,0,0,0,0
40,Bledsoe County,6,Bledsoe County Middle School,No,2020,Economically Disadvantaged,0,2,0,0,0,187,0,1.1,0,0,0
40,Bledsoe County,6,Bledsoe County Middle School,No,2020,English Language Learner,0,0,0,0,0,6,0,0,0,0,0
40,Bledsoe County,6,Bledsoe County Middle School,No,2020,Student with Disabilities,0,1,0,0,0,93,0,1.1,0,0,0
40,Bledsoe County,10,Cecil B Rigsby Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,38,0,0,0,0,0
40,Bledsoe County,10,Cecil B Rigsby Elementary,No,2020,Economically Disadvantaged,0,1,0,0,0,96,0,1,0,0,0
40,Bledsoe County,10,Cecil B Rigsby Elementary,No,2020,English Language Learner,0,0,0,0,0,13,0,0,0,0,0
40,Bledsoe County,10,Cecil B Rigsby Elementary,No,2020,Student with Disabilities,0,0,0,0,0,41,0,0,0,0,0
40,Bledsoe County,25,Mary V Wheeler Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,16,0,0,0,0,0
40,Bledsoe County,25,Mary V Wheeler Elementary,No,2020,Economically Disadvantaged,0,0,0,0,0,97,0,0,0,0,0
40,Bledsoe County,25,Mary V Wheeler Elementary,No,2020,English Language Learner,0,0,0,0,0,1,0,0,0,0,0
40,Bledsoe County,25,Mary V Wheeler Elementary,No,2020,Student with Disabilities,0,1,0,0,0,49,0,2,0,0,0
40,Bledsoe County,30,Pikeville Elementary,No,2020,Black/Hispanic/Native American,0,0,0,0,0,31,0,0,0,0,0
40,Bledsoe County,30,Pikeville Elementary,No,2020,Economically Disadvantaged,0,1,0,0,0,187,0,0.5,0,0,0
40,Bledsoe County,30,Pikeville Elementary,No,2020,English Language Learner,0,0,0,0,0,6,0,0,0,0,0
40,Bledsoe County,30,Pikeville Elementary,No,2020,Student with Disabilities,0,0,0,0,0,121,0,0,0,0,0
40,Bledsoe County,,,,2020,Black/Hispanic/Native American,3,1,0,0,0,158,1.9,0.6,0,0,0
40,Bledsoe County,,,,2020,Economically Disadvantaged,24,12,0,0,0,774,3.1,1.6,0,0,0
40,Bledsoe County,,,,2020,English Language Learner,0,0,0,0,0,28,0,0,0,0,0
40,Bledsoe County,,,,2020,Student with Disabilities,19,7,0,0,0,412,4.6,1.7,0,0,0
50,Blount County,22,Carpenters Elementary School,No,2020,Black/Hispanic/Native American,2,0,0,0,0,44,4.5,0,0,0,0
50,Blount County,22,Carpenters Elementary School,No,2020,Economically Disadvantaged,4,2,0,0,0,101,4,2,0,0,0
50,Blount County,22,Carpenters Elementary School,No,2020,English Language Learner,0,0,0,0,0,8,0,0,0,0,0
50,Blount County,22,Carpenters Elementary School,No,2020,Student with Disabilities,2,0,0,0,0,66,3,0,0,0,0
50,Blount County,23,Carpenters Middle School,No,2020,Black/Hispanic/Native American,9,2,0,0,0,45,20,4.4,0,0,0
50,Blount County,23,Carpenters Middle School,No,2020,Economically Disadvantaged,30,6,0,2,1,130,23.1,4.6,0,1.5,0.8
50,Blount County,23,Carpenters Middle School,No,2020,English Language Learner,0,0,0,0,0,5,0,0,0,0,0
50,Blount County,23,Carpenters Middle School,No,2020,Student with Disabilities,22,8,0,0,0,80,27.5,10,0,0,0
50,Blount County,30,Eagleton Middle School,No,2020,Black/Hispanic/Native American,1,0,0,0,0,98,1,0,0,0,0
50,Blount County,30,Eagleton Middle School,No,2020,Economically Disadvantaged,1,1,0,0,0,116,0.9,0.9,0,0,0
50,Blount County,30,Eagleton Middle School,No,2020,English Language Learner,0,0,0,0,0,12,0,0,0,0,0
50,Blount County,30,Eagleton Middle School,No,2020,Student with Disabilities,0,0,0,0,0,59,0,0,0,0,0
50,Blount County,43,Eagleton Elementary,No,2020,Black/Hispanic/Native American,1,1,0,0,0,139,0.7,0.7,0,0,0
50,Blount County,43,Eagleton Elementary,No,2020,Economically Disadvantaged,2,1,0,0,0,117,1.7,0.9,0,0,0
