year,district_number,district_name,subgroup,graduation cohort,graduation count,graduation rate
2019,50,Blount County,American Indian or Alaska Native,6,*,*
2019,50,Blount County,Asian,7,*,*
2019,50,Blount County,Black or African American,17,**,**
2019,50,Blount County,Black/Hispanic/Native American,53,49,92.5
2019,50,Blount County,Economically Disadvantaged,257,229,89.1
2019,50,Blount County,English Learners with Transitional 1-4,10,**,**
2019,50,Blount County,Female,401,383,95.5
2019,50,Blount County,Hispanic,30,27,90
2019,50,Blount County,Homeless,4,*,*
2019,50,Blount County,Male,393,356,90.6
2019,50,Blount County,Native Hawaiian or Other Pacific Islander,2,*,*
2019,50,Blount County,Non-Black/Hispanic/Native American,741,690,93.1
2019,50,Blount County,Non-Economically Disadvantaged,537,510,95
2019,50,Blount County,Non-English Learners/Transitional 1-4,784,729,93
2019,50,Blount County,Non-Homeless,790,735,93
2019,50,Blount County,Non-Migrant,794,739,93.1
2019,50,Blount County,Non-Students with Disabilities,680,656,96.5
2019,50,Blount County,Students with Disabilities,114,83,72.8
2019,50,Blount County,White,732,681,93
2019,51,Alcoa,All Students,172,170,98.8
2019,51,Alcoa,American Indian or Alaska Native,1,*,*
2019,51,Alcoa,Asian,3,*,*
2019,51,Alcoa,Black or African American,59,**,**
2019,51,Alcoa,Black/Hispanic/Native American,73,**,**
2019,51,Alcoa,Economically Disadvantaged,66,65,98.5
2019,51,Alcoa,English Learners with Transitional 1-4,2,*,*
2019,51,Alcoa,Female,82,81,98.8
2019,51,Alcoa,Hispanic,13,**,**
2019,51,Alcoa,Homeless,7,*,*
2019,51,Alcoa,Male,90,89,98.9
2019,51,Alcoa,Native Hawaiian or Other Pacific Islander,1,*,*
2019,51,Alcoa,Non-Black/Hispanic/Native American,99,97,98
2019,51,Alcoa,Non-Economically Disadvantaged,106,**,**
2019,51,Alcoa,Non-English Learners/Transitional 1-4,170,168,98.8
2019,51,Alcoa,Non-Homeless,165,**,**
2019,51,Alcoa,Non-Migrant,172,170,98.8
2019,51,Alcoa,Non-Students with Disabilities,155,**,**
2019,51,Alcoa,Students with Disabilities,17,16,94.1
2019,51,Alcoa,White,95,93,97.9
2019,52,Maryville,All Students,420,397,94.5
2019,52,Maryville,American Indian or Alaska Native,0,*,*
2019,52,Maryville,Asian,12,**,**
2019,52,Maryville,Black or African American,20,18,90
2019,52,Maryville,Black/Hispanic/Native American,42,37,88.1
2019,52,Maryville,Economically Disadvantaged,77,64,83.1
2019,52,Maryville,English Learners with Transitional 1-4,8,*,*
2019,52,Maryville,Female,200,190,95
2019,52,Maryville,Hispanic,22,19,86.4
2019,52,Maryville,Homeless,4,*,*
2019,52,Maryville,Male,220,207,94.1
2019,52,Maryville,Native Hawaiian or Other Pacific Islander,1,*,*
2019,52,Maryville,Non-Black/Hispanic/Native American,378,360,95.2
2019,52,Maryville,Non-Economically Disadvantaged,343,333,97.1
2019,52,Maryville,Non-English Learners/Transitional 1-4,412,390,94.7
2019,52,Maryville,Non-Homeless,416,393,94.5
2019,52,Maryville,Non-Migrant,420,397,94.5
2019,52,Maryville,Non-Students with Disabilities,357,349,97.8
2019,52,Maryville,Students with Disabilities,63,48,76.2
2019,52,Maryville,White,365,347,95.1
2019,60,Bradley County,All Students,826,775,93.8
2019,60,Bradley County,American Indian or Alaska Native,1,*,*
2019,60,Bradley County,Asian,3,*,*
2019,60,Bradley County,Black or African American,32,29,90.6
2019,60,Bradley County,Black/Hispanic/Native American,71,65,91.5
2019,60,Bradley County,Economically Disadvantaged,287,249,86.8
2019,60,Bradley County,English Learners with Transitional 1-4,5,*,*
2019,60,Bradley County,Female,385,368,95.6
2019,60,Bradley County,Hispanic,38,35,92.1
2019,60,Bradley County,Homeless,1,*,*
2019,60,Bradley County,Male,441,407,92.3
2019,60,Bradley County,Native Hawaiian or Other Pacific Islander,2,*,*
2019,60,Bradley County,Non-Black/Hispanic/Native American,755,710,94
2019,60,Bradley County,Non-Economically Disadvantaged,539,526,97.6
2019,60,Bradley County,Non-English Learners/Transitional 1-4,821,770,93.8
2019,60,Bradley County,Non-Homeless,825,774,93.8
2019,60,Bradley County,Non-Migrant,826,775,93.8
2019,60,Bradley County,Non-Students with Disabilities,745,708,95
2019,60,Bradley County,Students with Disabilities,81,67,82.7
2019,60,Bradley County,White,750,705,94
2019,61,Cleveland,All Students,413,370,89.6
2019,61,Cleveland,American Indian or Alaska Native,5,*,*
2019,61,Cleveland,Asian,9,*,*
2019,61,Cleveland,Black or African American,69,62,89.9
2019,61,Cleveland,Black/Hispanic/Native American,152,137,90.1
2019,61,Cleveland,Economically Disadvantaged,182,154,84.6
2019,61,Cleveland,English Learners with Transitional 1-4,28,20,71.4
2019,61,Cleveland,Female,189,171,90.5
2019,61,Cleveland,Hispanic,78,70,89.7
2019,61,Cleveland,Homeless,3,*,*
2019,61,Cleveland,Male,224,199,88.8
2019,61,Cleveland,Native Hawaiian or Other Pacific Islander,1,*,*
2019,61,Cleveland,Non-Black/Hispanic/Native American,261,233,89.3
2019,61,Cleveland,Non-Economically Disadvantaged,231,216,93.5
2019,61,Cleveland,Non-English Learners/Transitional 1-4,385,350,90.9
2019,61,Cleveland,Non-Homeless,410,367,89.5
2019,61,Cleveland,Non-Migrant,413,370,89.6
2019,61,Cleveland,Non-Students with Disabilities,353,326,92.4
2019,61,Cleveland,Students with Disabilities,60,44,73.3
2019,61,Cleveland,White,251,223,88.8
2019,70,Campbell County,All Students,407,371,91.2
2019,70,Campbell County,Asian,1,*,*
2019,70,Campbell County,Black or African American,1,*,*
2019,70,Campbell County,Black/Hispanic/Native American,3,*,*
2019,70,Campbell County,Economically Disadvantaged,211,189,89.6
2019,70,Campbell County,English Learners with Transitional 1-4,0,*,*
2019,70,Campbell County,Female,202,184,91.1
2019,70,Campbell County,Hispanic,2,*,*
2019,70,Campbell County,Homeless,37,33,89.2
2019,70,Campbell County,Male,205,187,91.2
2019,70,Campbell County,Non-Black/Hispanic/Native American,404,368,91.1
2019,70,Campbell County,Non-Economically Disadvantaged,196,182,92.9
2019,70,Campbell County,Non-English Learners/Transitional 1-4,407,371,91.2
2019,70,Campbell County,Non-Homeless,370,338,91.4
2019,70,Campbell County,Non-Migrant,407,371,91.2
2019,70,Campbell County,Non-Students with Disabilities,353,326,92.4
2019,70,Campbell County,Students with Disabilities,54,45,83.3
2019,70,Campbell County,White,403,368,91.3
2019,80,Cannon County,All Students,144,131,91
2019,80,Cannon County,Asian,1,*,*
2019,80,Cannon County,Black or African American,1,*,*
2019,80,Cannon County,Black/Hispanic/Native American,7,*,*
2019,80,Cannon County,Economically Disadvantaged,50,42,84
2019,80,Cannon County,English Learners with Transitional 1-4,1,*,*
2019,80,Cannon County,Female,65,64,98.5
2019,80,Cannon County,Hispanic,6,*,*
2019,80,Cannon County,Homeless,1,*,*
2019,80,Cannon County,Male,79,67,84.8
2019,80,Cannon County,Non-Black/Hispanic/Native American,137,124,90.5
2019,80,Cannon County,Non-Economically Disadvantaged,94,89,94.7
2019,80,Cannon County,Non-English Learners/Transitional 1-4,143,131,91.6
2019,80,Cannon County,Non-Homeless,143,130,90.9
2019,80,Cannon County,Non-Migrant,144,131,91
2019,80,Cannon County,Non-Students with Disabilities,119,114,95.8
2019,80,Cannon County,Students with Disabilities,25,17,68
2019,80,Cannon County,White,136,124,91.2
2019,90,Carroll County,All Students,10,**,**
2019,90,Carroll County,Black or African American,3,*,*
2019,90,Carroll County,Black/Hispanic/Native American,3,*,*
2019,90,Carroll County,Economically Disadvantaged,8,*,*
2019,90,Carroll County,Female,5,*,*
2019,90,Carroll County,Homeless,3,*,*
2019,90,Carroll County,Male,5,*,*
2019,90,Carroll County,Non-Black/Hispanic/Native American,7,*,*
2019,90,Carroll County,Non-Economically Disadvantaged,2,*,*
2019,90,Carroll County,Non-English Learners/Transitional 1-4,10,**,**
2019,90,Carroll County,Non-Homeless,7,*,*
2019,90,Carroll County,Non-Migrant,10,**,**
2019,90,Carroll County,Non-Students with Disabilities,9,*,*
2019,90,Carroll County,Students with Disabilities,1,*,*
2019,90,Carroll County,White,7,*,*
2019,92,Hollow Rock - Bruceton,All Students,44,43,97.7
2019,92,Hollow Rock - Bruceton,American Indian or Alaska Native,1,*,*
2019,92,Hollow Rock - Bruceton,Black or African American,4,*,*
2019,92,Hollow Rock - Bruceton,Black/Hispanic/Native American,5,*,*
2019,92,Hollow Rock - Bruceton,Economically Disadvantaged,20,19,95
2019,92,Hollow Rock - Bruceton,Female,18,**,**
2019,92,Hollow Rock - Bruceton,Homeless,3,*,*
2019,92,Hollow Rock - Bruceton,Male,26,25,96.2
2019,92,Hollow Rock - Bruceton,Non-Black/Hispanic/Native American,39,38,97.4
2019,92,Hollow Rock - Bruceton,Non-Economically Disadvantaged,24,**,**
2019,92,Hollow Rock - Bruceton,Non-English Learners/Transitional 1-4,44,43,97.7
2019,92,Hollow Rock - Bruceton,Non-Homeless,41,**,**
2019,92,Hollow Rock - Bruceton,Non-Migrant,44,43,97.7
2019,92,Hollow Rock - Bruceton,Non-Students with Disabilities,40,**,**
2019,92,Hollow Rock - Bruceton,Students with Disabilities,4,*,*
2019,92,Hollow Rock - Bruceton,White,39,38,97.4
2019,93,Huntingdon Special School District,All Students,78,**,**
2019,93,Huntingdon Special School District,American Indian or Alaska Native,1,*,*
2019,93,Huntingdon Special School District,Asian,0,*,*
2019,93,Huntingdon Special School District,Black or African American,11,**,**
2019,93,Huntingdon Special School District,Black/Hispanic/Native American,13,**,**
2019,93,Huntingdon Special School District,Economically Disadvantaged,34,**,**
2019,93,Huntingdon Special School District,Female,42,**,**
2019,93,Huntingdon Special School District,Hispanic,1,*,*
2019,93,Huntingdon Special School District,Homeless,7,*,*
2019,93,Huntingdon Special School District,Male,36,**,**
2019,93,Huntingdon Special School District,Non-Black/Hispanic/Native American,65,**,**
2019,93,Huntingdon Special School District,Non-Economically Disadvantaged,44,**,**
2019,93,Huntingdon Special School District,Non-English Learners/Transitional 1-4,78,**,**
2019,93,Huntingdon Special School District,Non-Homeless,71,**,**
2019,93,Huntingdon Special School District,Non-Migrant,78,**,**
2019,93,Huntingdon Special School District,Non-Students with Disabilities,71,**,**
2019,93,Huntingdon Special School District,Students with Disabilities,7,*,*
2019,93,Huntingdon Special School District,White,65,**,**
2019,94,McKenzie,All Students,112,109,97.3
2019,94,McKenzie,Asian,2,*,*
2019,94,McKenzie,Black or African American,20,**,**
2019,94,McKenzie,Black/Hispanic/Native American,23,**,**
2019,94,McKenzie,Economically Disadvantaged,43,42,97.7
2019,94,McKenzie,English Learners with Transitional 1-4,1,*,*
2019,94,McKenzie,Female,61,59,96.7
2019,94,McKenzie,Hispanic,3,*,*
2019,94,McKenzie,Homeless,5,*,*
2019,94,McKenzie,Male,51,50,98
2019,94,McKenzie,Non-Black/Hispanic/Native American,89,86,96.6
2019,94,McKenzie,Non-Economically Disadvantaged,69,67,97.1
2019,94,McKenzie,Non-English Learners/Transitional 1-4,111,109,98.2
2019,94,McKenzie,Non-Homeless,107,104,97.2
2019,94,McKenzie,Non-Migrant,112,109,97.3
2019,94,McKenzie,Non-Students with Disabilities,98,96,98
2019,94,McKenzie,Students with Disabilities,14,13,92.9
2019,94,McKenzie,White,87,85,97.7
2019,95,South Carroll,All Students,17,**,**
2019,95,South Carroll,Black or African American,1,*,*
2019,95,South Carroll,Black/Hispanic/Native American,1,*,*
2019,95,South Carroll,Economically Disadvantaged,4,*,*
2019,95,South Carroll,Female,11,**,**
2019,95,South Carroll,Male,6,*,*
2019,95,South Carroll,Non-Black/Hispanic/Native American,16,**,**
2019,95,South Carroll,Non-Economically Disadvantaged,13,**,**
2019,95,South Carroll,Non-English Learners/Transitional 1-4,17,**,**
2019,95,South Carroll,Non-Homeless,17,**,**
2019,95,South Carroll,Non-Migrant,17,**,**
2019,95,South Carroll,Non-Students with Disabilities,15,**,**
2019,95,South Carroll,Students with Disabilities,2,*,*
2019,95,South Carroll,White,16,**,**
2019,97,West Carroll Sp Dist,All Students,71,65,91.5
2019,97,West Carroll Sp Dist,Black or African American,6,*,*
2019,97,West Carroll Sp Dist,Black/Hispanic/Native American,6,*,*
2019,97,West Carroll Sp Dist,Economically Disadvantaged,32,27,84.4
2019,97,West Carroll Sp Dist,Female,33,30,90.9
2019,97,West Carroll Sp Dist,Homeless,2,*,*
2019,97,West Carroll Sp Dist,Male,38,35,92.1
2019,97,West Carroll Sp Dist,Non-Black/Hispanic/Native American,65,59,90.8
2019,97,West Carroll Sp Dist,Non-Economically Disadvantaged,39,38,97.4
2019,97,West Carroll Sp Dist,Non-English Learners/Transitional 1-4,71,65,91.5
2019,97,West Carroll Sp Dist,Non-Homeless,69,64,92.8
2019,97,West Carroll Sp Dist,Non-Migrant,71,65,91.5
2019,97,West Carroll Sp Dist,Non-Students with Disabilities,60,56,93.3
2019,97,West Carroll Sp Dist,Students with Disabilities,11,9,81.8
2019,97,West Carroll Sp Dist,White,65,59,90.8
2019,100,Carter County,All Students,367,326,88.8
2019,100,Carter County,American Indian or Alaska Native,2,*,*
2019,100,Carter County,Asian,1,*,*
2019,100,Carter County,Black or African American,3,*,*
2019,100,Carter County,Black/Hispanic/Native American,7,*,*
2019,100,Carter County,Economically Disadvantaged,183,153,83.6
2019,100,Carter County,English Learners with Transitional 1-4,1,*,*
2019,100,Carter County,Female,170,158,92.9
2019,100,Carter County,Hispanic,2,*,*
2019,100,Carter County,Homeless,25,21,84
2019,100,Carter County,Male,197,168,85.3
2019,100,Carter County,Non-Black/Hispanic/Native American,360,319,88.6
2019,100,Carter County,Non-Economically Disadvantaged,184,173,94
2019,100,Carter County,Non-English Learners/Transitional 1-4,366,326,89.1
2019,100,Carter County,Non-Homeless,342,305,89.2
2019,100,Carter County,Non-Migrant,367,326,88.8
2019,100,Carter County,Non-Students with Disabilities,303,278,91.7
2019,100,Carter County,Students with Disabilities,64,48,75
2019,100,Carter County,White,359,318,88.6
2019,101,Elizabethton,All Students,198,176,88.9
2019,101,Elizabethton,American Indian or Alaska Native,1,*,*
2019,101,Elizabethton,Asian,2,*,*
2019,101,Elizabethton,Black or African American,15,12,80
2019,101,Elizabethton,Black/Hispanic/Native American,18,15,83.3
2019,101,Elizabethton,Economically Disadvantaged,74,59,79.7
2019,101,Elizabethton,Female,95,90,94.7
2019,101,Elizabethton,Hispanic,2,*,*
2019,101,Elizabethton,Homeless,22,16,72.7
2019,101,Elizabethton,Male,103,86,83.5
2019,101,Elizabethton,Native Hawaiian or Other Pacific Islander,0,*,*
2019,101,Elizabethton,Non-Black/Hispanic/Native American,180,161,89.4
2019,101,Elizabethton,Non-Economically Disadvantaged,124,117,94.4
2019,101,Elizabethton,Non-English Learners/Transitional 1-4,198,176,88.9
2019,101,Elizabethton,Non-Homeless,176,160,90.9
2019,101,Elizabethton,Non-Migrant,198,176,88.9
2019,101,Elizabethton,Non-Students with Disabilities,176,162,92
2019,101,Elizabethton,Students with Disabilities,22,14,63.6
2019,101,Elizabethton,White,178,159,89.3
2019,110,Cheatham County,All Students,444,408,91.9
2019,110,Cheatham County,American Indian or Alaska Native,3,*,*
2019,110,Cheatham County,Asian,2,*,*
2019,110,Cheatham County,Black or African American,12,11,91.7
2019,110,Cheatham County,Black/Hispanic/Native American,34,31,91.2
2019,110,Cheatham County,Economically Disadvantaged,151,124,82.1
2019,110,Cheatham County,English Learners with Transitional 1-4,5,*,*
2019,110,Cheatham County,Female,215,199,92.6
2019,110,Cheatham County,Hispanic,19,17,89.5
2019,110,Cheatham County,Homeless,23,21,91.3
2019,110,Cheatham County,Male,229,209,91.3
2019,110,Cheatham County,Non-Black/Hispanic/Native American,410,377,92
2019,110,Cheatham County,Non-Economically Disadvantaged,293,284,96.9
2019,110,Cheatham County,Non-English Learners/Transitional 1-4,439,404,92
2019,110,Cheatham County,Non-Homeless,421,387,91.9
2019,110,Cheatham County,Non-Migrant,444,408,91.9
2019,110,Cheatham County,Non-Students with Disabilities,390,362,92.8
2019,110,Cheatham County,Students with Disabilities,54,46,85.2
2019,110,Cheatham County,White,408,375,91.9
2019,120,Chester County,All Students,219,210,95.9
2019,120,Chester County,American Indian or Alaska Native,1,*,*
2019,120,Chester County,Asian,2,*,*
2019,120,Chester County,Black or African American,26,**,**
2019,120,Chester County,Black/Hispanic/Native American,29,**,**
2019,120,Chester County,Economically Disadvantaged,76,71,93.4
2019,120,Chester County,Female,106,103,97.2
2019,120,Chester County,Hispanic,2,*,*
2019,120,Chester County,Homeless,2,*,*
2019,120,Chester County,Male,113,107,94.7
2019,120,Chester County,Non-Black/Hispanic/Native American,190,181,95.3
2019,120,Chester County,Non-Economically Disadvantaged,143,139,97.2
2019,120,Chester County,Non-English Learners/Transitional 1-4,219,210,95.9
2019,120,Chester County,Non-Homeless,217,208,95.9
2019,120,Chester County,Non-Migrant,219,210,95.9
2019,120,Chester County,Non-Students with Disabilities,196,192,98
2019,120,Chester County,Students with Disabilities,23,18,78.3
2019,120,Chester County,White,188,179,95.2
2019,130,Claiborne County,All Students,287,266,92.7
2019,130,Claiborne County,American Indian or Alaska Native,1,*,*
2019,130,Claiborne County,Asian,1,*,*
2019,130,Claiborne County,Black or African American,3,*,*
2019,130,Claiborne County,Black/Hispanic/Native American,8,*,*
2019,130,Claiborne County,Economically Disadvantaged,129,114,88.4
2019,130,Claiborne County,Female,135,124,91.9
2019,130,Claiborne County,Hispanic,4,*,*
2019,130,Claiborne County,Homeless,6,*,*
2019,130,Claiborne County,Male,152,142,93.4
2019,130,Claiborne County,Non-Black/Hispanic/Native American,279,259,92.8
2019,130,Claiborne County,Non-Economically Disadvantaged,158,152,96.2
2019,130,Claiborne County,Non-English Learners/Transitional 1-4,287,266,92.7
2019,130,Claiborne County,Non-Homeless,281,261,92.9
2019,130,Claiborne County,Non-Migrant,287,266,92.7
2019,130,Claiborne County,Non-Students with Disabilities,254,242,95.3
2019,130,Claiborne County,Students with Disabilities,33,24,72.7
2019,130,Claiborne County,White,278,258,92.8
2019,140,Clay County,All Students,89,87,97.8
2019,140,Clay County,Black or African American,3,*,*
2019,140,Clay County,Black/Hispanic/Native American,4,*,*
2019,140,Clay County,Economically Disadvantaged,47,45,95.7
2019,140,Clay County,Female,42,**,**
2019,140,Clay County,Hispanic,1,*,*
2019,140,Clay County,Homeless,8,*,*
2019,140,Clay County,Male,47,45,95.7
2019,140,Clay County,Migrant,3,*,*
2019,140,Clay County,Non-Black/Hispanic/Native American,85,84,98.8
2019,140,Clay County,Non-Economically Disadvantaged,42,**,**
2019,140,Clay County,Non-English Learners/Transitional 1-4,89,87,97.8
2019,140,Clay County,Non-Homeless,81,80,98.8
2019,140,Clay County,Non-Migrant,86,84,97.7
2019,140,Clay County,Non-Students with Disabilities,79,78,98.7
2019,140,Clay County,Students with Disabilities,10,9,90
2019,140,Clay County,White,85,84,98.8
2019,150,Cocke County,All Students,382,353,92.4
2019,150,Cocke County,Asian,2,*,*
2019,150,Cocke County,Black or African American,10,**,**
2019,150,Cocke County,Black/Hispanic/Native American,16,**,**
2019,150,Cocke County,Economically Disadvantaged,211,193,91.5
2019,150,Cocke County,English Learners with Transitional 1-4,2,*,*
2019,150,Cocke County,Female,170,161,94.7
2019,150,Cocke County,Hispanic,6,*,*
2019,150,Cocke County,Homeless,27,23,85.2
2019,150,Cocke County,Male,212,192,90.6
2019,150,Cocke County,Migrant,1,*,*
2019,150,Cocke County,Native Hawaiian or Other Pacific Islander,1,*,*
2019,150,Cocke County,Non-Black/Hispanic/Native American,366,337,92.1
2019,150,Cocke County,Non-Economically Disadvantaged,171,160,93.6
2019,150,Cocke County,Non-English Learners/Transitional 1-4,380,351,92.4
2019,150,Cocke County,Non-Homeless,355,330,93
2019,150,Cocke County,Non-Migrant,381,352,92.4
2019,150,Cocke County,Non-Students with Disabilities,319,306,95.9
2019,150,Cocke County,Students with Disabilities,63,47,74.6
2019,150,Cocke County,White,363,334,92
2019,160,Coffee County,All Students,437,392,89.7
2019,160,Coffee County,American Indian or Alaska Native,2,*,*
2019,160,Coffee County,Asian,7,*,*
2019,160,Coffee County,Black or African American,16,**,**
2019,160,Coffee County,Black/Hispanic/Native American,48,46,95.8
2019,160,Coffee County,Economically Disadvantaged,180,154,85.6
2019,160,Coffee County,English Learners with Transitional 1-4,9,*,*
2019,160,Coffee County,Female,211,194,91.9
2019,160,Coffee County,Hispanic,30,28,93.3
2019,160,Coffee County,Homeless,13,10,76.9
2019,160,Coffee County,Male,226,198,87.6
2019,160,Coffee County,Non-Black/Hispanic/Native American,389,346,88.9
2019,160,Coffee County,Non-Economically Disadvantaged,257,238,92.6
2019,160,Coffee County,Non-English Learners/Transitional 1-4,428,384,89.7
2019,160,Coffee County,Non-Homeless,424,382,90.1
2019,160,Coffee County,Non-Migrant,437,392,89.7
2019,160,Coffee County,Non-Students with Disabilities,381,352,92.4
2019,160,Coffee County,Students with Disabilities,56,40,71.4
2019,160,Coffee County,White,382,339,88.7
2019,162,Tullahoma,All Students,251,228,90.8
2019,162,Tullahoma,American Indian or Alaska Native,2,*,*
2019,162,Tullahoma,Asian,6,*,*
