district_number,district,school_number,school_name,street_address_1,city,state,zipcode,phone1,phone2,countyname,year,principal,grades_served
10,Anderson County,105,Clinch River Community School,160 Maverick CIR,Clinton,TN,37716,(865) 457-7462,,Anderson County,2020,Darren Leach,Grades KG-12
10,Anderson County,7001,Anderson County Head Start / Preschool,708 N. Main ST,Clinton,TN,37716,(865) 463-2833,,Anderson County,2020,Shelby Haun,Grades PK-KG
11,Clinton,5,Clinton Elementary,210  N  Hicks ST,Clinton,TN,37716,(865) 457-0616,,Anderson County,2020,Jenna Sharp,Grades PK-6
11,Clinton,10,North Clinton Elementary,305  Beets  ST,Clinton,TN,37716,(865) 457-2784,,Anderson County,2020,Monica Rael,Grades PK-6
11,Clinton,15,South Clinton Elementary,242  Hiway  DR,Clinton,TN,37716,(865) 457-2684,,Anderson County,2020,Leighann Bonesteel,Grades PK-6
12,Oak Ridge,15,Glenwood Elementary,125 Audubon RD,Oak Ridge,TN,37830,(865) 425-9401,,Anderson County,2020,Virginia Boles,Grades KG-4
12,Oak Ridge,25,Jefferson Middle School,200  Fairbanks  RD,Oak Ridge,TN,37830,(865) 425-9301,,Anderson County,2020,Phil Cox,Grades 5-9
12,Oak Ridge,30,Linden Elementary,700  Robertsville  RD,Oak Ridge,TN,37830,(865) 425-5701,,Anderson County,2020,Roger Ward,Grades KG-4
12,Oak Ridge,35,Oak Ridge High School,1450 Oak Ridge Turnpike,Oak Ridge,TN,37830,(865) 425-9601,,Anderson County,2020,Martin G. McDonald,Grades 9-12
12,Oak Ridge,40,Robertsville Middle School,245  Robertsville  RD,Oak Ridge,TN,37830,(865) 425-9201,,Anderson County,2020,Kirk Renegar,Grades 5-8
12,Oak Ridge,43,Preschool,304 New  York AVE,Oak Ridge,TN,37830,(865) 425-9101,,Anderson County,2020,Lisa Downard,Grades PK-PK
12,Oak Ridge,45,Willow Brook Elementary,298  Robertsville  RD,Oak Ridge,TN,37830,(865) 425-3201,,Anderson County,2020,Sherrie Fairchild-Keyes,Grades KG-4
12,Oak Ridge,50,Woodland Elementary,168  Manhattan  AVE,Oak Ridge,TN,37830,(865) 425-9501,,Anderson County,2020,D.T. Hobby,Grades KG-4
20,Bedford County,12,Cascade Elementary,2998  Fairfield  PIKE,Wartrace,TN,37183,(931) 389-0031,,Bedford County,2020,Sherry Crawford,Grades KG-5
20,Bedford County,13,Cascade High School,1165  Bell  Bckle/Wartrace,Wartrace,TN,37183,(931) 389-9389,,Bedford County,2020,Dr. Josh Young,Grades 9-12
20,Bedford County,15,Eakin Elementary,1100  Glenoaks  RD,Shelbyville,TN,37160,(931) 684-7852,,Bedford County,2020,Dulcie Davis,Grades PK-5
20,Bedford County,17,Cascade Middle School,1165 Bell Buckle Wartrace RD,Wartrace,TN,37183,(931) 389-9389,(931) 389-9389,Bedford County,2020,David Parker,Grades 6-8
20,Bedford County,20,Shelbyville Central High School,401  Eagle  BLVD,Shelbyville,TN,37160,(931) 684-5672,,Bedford County,2020,Tim Harwell,Grades 9-12
20,Bedford County,25,Harris Middle School,570 Eagle BLVD,Shelbyville,TN,37160,(931) 684-5195,,Bedford County,2020,Neil Watson,Grades 6-8
20,Bedford County,33,Community Elementary School,3480 Highway  41a,Unionville,TN,37180,(931) 685-1417,,Bedford County,2020,Whitney Yoes,Grades PK-5
20,Bedford County,35,Community High School,100 Community Crossing,Unionville,TN,37180,(931) 685-1418,,Bedford County,2020,Dr. Robert Ralston,Grades 9-12
20,Bedford County,37,Community Middle School,3470 Hwy 41A RD,Unionville,TN,37180,(931) 685-1426,,Bedford County,2020,Tony Garrette,Grades 6-8
20,Bedford County,39,Learning Way Elementary,200 Learning Way DR,Shelbyville,TN,37160,(931) 685-1425,,Bedford County,2020,Kathy Reed,Grades PK-5
20,Bedford County,40,East Side Elementary,421  Elliott  ST,Shelbyville,TN,37160,(931) 684-7112,,Bedford County,2020,Layne Talbott-Draper,Grades PK-5
20,Bedford County,53,Liberty Elementary,500  Snell  RD,Shelbyville,TN,37160,(931) 684-7809,,Bedford County,2020,Amy McCullough,Grades PK-8
20,Bedford County,75,South Side Elementary,903  Cannon  BLVD,Shelbyville,TN,37160,(931) 684-7545,,Bedford County,2020,Reita Vaughn,Grades PK-5
20,Bedford County,78,Thomas Magnet Elementary School,515 Tate Avenue,Shelbyville,TN,37160,(931) 684-6818,,Bedford County,2020,Tracy Watson,Grades PK-5
30,Benton County,4,Benton County Academy,175 Briarwood AVE,Camden,TN,38320,(731) 584-1372,,Benton County,2020,Shelia Barnes,Grades 9-12
30,Benton County,9,Senator Frank P. Lashlee Career and Technical Center,155 Schools DR,Camden,TN,38320,(731) 584-4492,,Benton County,2020,Randy Shannon,Grades 9-12
30,Benton County,10,Big Sandy School,13305 Highway  69 A,Big Sandy,TN,38221,(731) 593-3221,,Benton County,2020,Marty Caruthers,Grades KG-12
30,Benton County,15,Briarwood School,169 Briarwood AVE,Camden,TN,38320,(731) 584-4257,,Benton County,2020,Lisa Bell,Grades 3-5
30,Benton County,20,Camden Elementary,208 Washington AVE,Camden,TN,38320,(731) 584-4918,,Benton County,2020,Sherri Crutchfield,Grades PK-2
30,Benton County,25,Camden Central High School,115 Schools DR,Camden,TN,38320,(731) 584-7254,,Benton County,2020,Shawn McDowell,Grades 9-12
30,Benton County,27,Camden Jr High School,75 Schools DR,Camden,TN,38320,(731) 584-4518,,Benton County,2020,Michelle Leonard,Grades 6-8
30,Benton County,30,Holladay Elementary,148 Stokes RD,Holladay,TN,38341,(731) 584-6874,,Benton County,2020,Marty Arnold,Grades KG-8
40,Bledsoe County,5,Bledsoe County High School,877 Main ST,Pikeville,TN,37367,(423) 447-6851,,Bledsoe County,2020,Mark Mosley,Grades 9-12
40,Bledsoe County,6,Bledsoe County Middle School,Route 6 Box 7 ST,Pikeville,TN,37367,(423) 447-3212,,Bledsoe County,2020,Dr. Lance Myhan,Grades 6-8
40,Bledsoe County,10,Cecil B Rigsby Elementary,8231 New Harmony RD,Pikeville,TN,37367,(423) 447-2891,,Bledsoe County,2020,Carl N. Brown,Grades PK-5
40,Bledsoe County,25,Mary V Wheeler Elementary,Rt 4  Box 155,Pikeville,TN,37367,(423) 881-3394,,Bledsoe County,2020,Candi Kempton,Grades PK-5
40,Bledsoe County,30,Pikeville Elementary,Route 6 Box 3,Pikeville,TN,37367,(423) 447-2457,,Bledsoe County,2020,James Ellis,Grades PK-5
50,Blount County,22,Carpenters Elementary School,915 Huffstetler RD,Maryville,TN,37803,(865) 980-1490,,Blount County,2020,Dr. Courtney Lowe-Whitehead,Grades PK-5
50,Blount County,23,Carpenters Middle School,920 Huffstetler RD,Maryville,TN,37803,(865) 980-1414,,Blount County,2020,Jon Young,Grades 6-8
50,Blount County,30,Eagleton Middle School,2610 Cinema DR,Maryville,TN,37804,(865) 982-3211,,Blount County,2020,Mark Dowlen,Grades 6-8
50,Blount County,43,Eagleton Elementary,708 Sam Houston School RD,Maryville,TN,37804,(865) 980-1455,,Blount County,2020,Buffy Wyrosdick,Grades PK-5
50,Blount County,45,Fairview Elementary,2130  Old  Niles Ferry,Maryville,TN,37803,(865) 982-0630,,Blount County,2020,Greg England,Grades PK-5
50,Blount County,55,Friendsville Elementary,210 E  4th AVE,Friendsville,TN,37777,(865) 980-1252,,Blount County,2020,Stan Painter,Grades PK-5
50,Blount County,61,Heritage Middle School,3737  E  Lamar Alex Pkwy,Maryville,TN,37804,(865) 980-1300,,Blount County,2020,Amber Williams,Grades 5-8
50,Blount County,63,Heritage High School,3741  E  Lamar Alex Pkwy,Maryville,TN,37804,(865) 984-8110,,Blount County,2020,Jake Jones,Grades 9-12
50,Blount County,70,Lanier Elementary,6006 Lanier RD,Maryville,TN,37742,(865) 980-1051,,Blount County,2020,Teresa Robinson,Grades PK-5
50,Blount County,84,Union Grove Middle School,334 South Old Grey Ridge RD,Friendsville,TN,37737,(865) 980-1320,,Blount County,2020,John Webb,Grades 6-8
50,Blount County,90,Mary Blount Elementary,131 South Old Glory RD,Maryville,TN,37801,(865) 980-1430,,Blount County,2020,Dr. Jesse Robinette,Grades PK-5
50,Blount County,93,Middlesettlements,3105  Miser  Station RD,Louisville,TN,37777,(865) 983-6644,,Blount County,2020,April Herron,Grades PK-5
50,Blount County,94,Montvale Elementary,3128  Montvale  RD,Maryville,TN,37803,(865) 983-2666,,Blount County,2020,Donna Russell,Grades PK-5
50,Blount County,95,Porter Elementary,4520  Wildwood  Springs RD,Maryville,TN,37804,(865) 983-4071,,Blount County,2020,Judy Pearson,Grades PK-5
50,Blount County,110,Rockford Elementary,3728  Williams  Mill RD,Rockford,TN,37853,(865) 982-1415,,Blount County,2020,Chad Tipton,Grades PK-5
50,Blount County,123,Samuel Everett School of Innovation,1500 Jett RD,Maryville,TN,37802,(865) 984-9420,,Blount County,2020,Justin Ridge,Grades KG-12
50,Blount County,125,Townsend Elementary,140 Tiger DR,Townsend,TN,37882,(865) 980-1202,,Blount County,2020,Connie Roberts,Grades PK-5
50,Blount County,138,Union Grove Elementary School,330 South Old Grey Ridge RD,Friendsville,TN,37737,(865) 980-1515,,Blount County,2020,Kristy Brewer,Grades PK-5
50,Blount County,145,Walland Elementary School,247  E  Millers Cove RD,Walland,TN,37886,(865) 983-2801,,Blount County,2020,Kim Sullivan,Grades KG-5
50,Blount County,155,William Blount High School,219  County  Farm RD,Maryville,TN,37801,(865) 984-5500,,Blount County,2020,Rob Clark,Grades 9-12
50,Blount County,160,Prospect Elementary School,1535 Burnett Station RD,Seymour,TN,37865,(865) 980-1565,(865) 980-1565,Blount County,2020,Dr.Heather Byrd,Grades PK-9
50,Blount County,7001,Eagleton 1 Head Start,2610 Cinema DR,Maryville,TN,37804,(865) 982-0608,,Blount County,2020,Judy Kennedy,Grades PK-PK
51,Alcoa,5,Alcoa Elementary,1200  Springbrook  RD,Alcoa,TN,37701,(865) 982-3120,,Blount County,2020,Monique Maples,Grades PK-2
51,Alcoa,6,Alcoa Middle School,532 Faraday ST,Alcoa,TN,37701,(865) 982-5211,,Blount County,2020,Scott Porter,Grades 6-8
51,Alcoa,10,Alcoa High School,1205 Lodge ST,Alcoa,TN,37701,(865) 983-3247,(865) 983-3247,Blount County,2020,Rebecca Stone,Grades 9-12
51,Alcoa,12,Alcoa Intermediate School,1325 Springbrook RD,Alcoa,TN,37701,(865) 982-4767,,Blount County,2020,Michelle Knight,Grades 3-5
52,Maryville,10,John Sevier Elementary,2001  Sequoyah  Avenue,Maryville,TN,37804,(865) 983-8551,,Blount County,2020,Brandee Easterly,Grades PK-5
52,Maryville,15,Maryville High School,825  Lawrence  AVE,Maryville,TN,37803,(865) 982-1132,,Blount County,2020,Greg Roach,Grades 10-12
52,Maryville,18,Montgomery Ridge Intermediate School,835 Montgomery LN,Maryville,TN,37803,(865) 980-0590,,Blount County,2020,D. Kevin Myers,Grades 4-7
52,Maryville,20,Maryville Junior High School,805  Montvale  Sta RD,Maryville,TN,37803,(865) 983-2070,,Blount County,2020,Lisa McGinley,Grades 8-9
52,Maryville,25,Sam Houston Elementary,330  Melrose  ST,Maryville,TN,37803,(865) 983-3241,,Blount County,2020,Heather Hilton,Grades PK-5
52,Maryville,30,Foothills Elementary,520 Sandy Springs RD,Maryville,TN,37803,(865) 681-0364,,Blount County,2020,Karen Schito,Grades PK-10
52,Maryville,35,Coulter Grove Intermediate School,2025 Sevierville RD,Maryville,TN,37804,(865) 982-6345,,Blount County,2020,Dr. Ramona Best,Grades 4-11
60,Bradley County,10,Black Fox Elementary School,3119 Sw Varnell RD,Cleveland,TN,37311,(423) 478-8800,,Bradley County,2020,Dr. Kim Fisher,Grades PK-5
60,Bradley County,18,Ocoee Middle School,2250 North Ocoee ST,Cleveland,TN,37311,(423) 476-0630,,Bradley County,2020,Corey Limburg,Grades 6-8
60,Bradley County,20,Bradley Central High School,1000 South Lee,Cleveland,TN,37311,(423) 476-0650,,Bradley County,2020,Patrick Spangler,Grades 9-12
60,Bradley County,30,Charleston Elementary School,P.O. Box 435 ST,Charleston,TN,37310,(423) 336-2232,,Bradley County,2020,Kirk Campbell,Grades PK-5
60,Bradley County,40,Hopewell Elementary School,5350 Nw Freewill Road NW,Cleveland,TN,37312,(423) 478-8802,,Bradley County,2020,Elizabeth Kaylor,Grades PK-5
60,Bradley County,50,Michigan Avenue Elementary School,188 Michigan Ave. School RD,Cleveland,TN,37323,(423) 478-8807,,Bradley County,2020,William Roberson Winters,Grades PK-5
60,Bradley County,53,North Cleveland GOAL Academy,209 Sunset DR,Cleveland,TN,37312,(423) 476-0699,,Bradley County,2020,Kyle Page,Grades 12-12
60,Bradley County,55,North Lee Elementary School,205 Sequoia DR,Cleveland,TN,37312,(423) 478-8809,,Bradley County,2020,Sandra Dana Yost,Grades PK-5
60,Bradley County,60,Oak Grove Elementary School,400 Durkee Road SE,Cleveland,TN,37323,(423) 478-8812,,Bradley County,2020,Stephanie Jones,Grades PK-5
60,Bradley County,65,Prospect Elementary School,2450 Prospect School RD,Cleveland,TN,37311,(423) 478-8814,,Bradley County,2020,Steve Montgomery,Grades PK-5
60,Bradley County,70,Taylor Elementary School,5265 Bates PIKE,Cleveland,TN,37323,(423) 478-8817,,Bradley County,2020,Erica Shamblin,Grades PK-5
60,Bradley County,72,Lake Forest Middle School,610 Kile Lake RD,Cleveland,TN,37323,(423) 478-8821,,Bradley County,2020,Ritchie Stevenson,Grades 6-8
60,Bradley County,75,Valley View Elementary School,5607 Spring Place RD,Cleveland,TN,37323,(423) 478-8825,,Bradley County,2020,Jeremy Jones,Grades PK-5
60,Bradley County,78,Walker Valley High School,750 Lauderdale Memorial Hwy. N. W.,Cleveland,TN,37312,(423) 336-1383,,Bradley County,2020,Nat Akiona,Grades 9-12
60,Bradley County,100,Waterville Community Elementary School,4081 Dalton Pike,Cleveland,TN,37323,(423) 478-8827,,Bradley County,2020,Heather Hayes,Grades PK-5
60,Bradley County,102,Park View Elementary School,300 Minnis RD,Cleveland,TN,37323,(423) 476-6622,,Bradley County,2020,Jodie Grannan,Grades PK-5
60,Bradley County,105,Bradley County Virtual School,301 Keith ST,Cleveland,TN,37311,(423) 709-8414,,Bradley County,2020,Bianca Pratt,Grades 6-12
61,Cleveland,10,Arnold Memorial Elementary,473  8th  N W ST,Cleveland,TN,37311,(423) 472-2241,,Bradley County,2020,Michael Chai,Grades PK-5
61,Cleveland,12,Blythe-Bower Elementary,604 20th  St SE,Cleveland,TN,37311,(423) 479-5121,,Bradley County,2020,Mrs. Prisavia Croft,Grades PK-5
61,Cleveland,18,Cleveland Middle,3635 Georgetown Road N. W.,Cleveland,TN,37312,(423) 479-9641,,Bradley County,2020,Dr. Leneda Laing,Grades 6-8
61,Cleveland,20,Cleveland High,850 Raider DR,Cleveland,TN,37312,(423) 478-1113,,Bradley County,2020,Autumn O'Bryan,Grades 9-12
61,Cleveland,21,D.P. Yates Primary,750 Mouse Creek RD,Cleveland,TN,37312,(423) 479-1723,,Bradley County,2020,Mike Collier,Grades PK-2
61,Cleveland,22,E.L. Ross Elementary,4340  Mouse  Creek RD,Cleveland,TN,37312,(423) 479-7274,,Bradley County,2020,Stephanie Stone,Grades 3-5
61,Cleveland,25,G.R. Stuart Elementary,802  20th  Nw ST,Cleveland,TN,37311,(423) 476-8246,,Bradley County,2020,Richelle Shelton,Grades PK-5
61,Cleveland,30,Mayfield Elementary,501 20th Street NE,Cleveland,TN,37311,(423) 472-4541,,Bradley County,2020,Randall Stephens,Grades PK-5
61,Cleveland,45,Candy's Creek Cherokee Elementary School,4445 Georgetown RD,Cleveland,TN,37312,(423) 472-9571,,Bradley County,2020,Mrs. Lisa Earby,Grades PK-5
70,Campbell County,2,Campbell Co Adult High School,P O Box 445 ST,Jacksboro,TN,37757,(423) 566-5436,,Campbell County,2020,Dr. Rita Goins,Grades 9-12
70,Campbell County,3,Campbell County Comprehensive High School,150  Cougar  LN,Jacksboro,TN,37757,(423) 562-8308,,Campbell County,2020,Jamie Wheeler,Grades 9-12
70,Campbell County,5,Caryville Elementary,120 Cardinal CIR,Caryville,TN,37714,(423) 562-2687,,Campbell County,2020,Lori Adkins,Grades PK-5
70,Campbell County,40,Elk Valley Elementary,6691  Hwy  297,Pioneer,TN,37847,(423) 784-6866,,Campbell County,2020,Nancy Lay,Grades PK-8
70,Campbell County,60,Jacksboro Elementary,P O Box 437 RD,Jacksboro,TN,37757,(423) 562-7433,,Campbell County,2020,Steven Sampieri,Grades PK-5
70,Campbell County,65,Jacksboro Middle School,150 Eagle CIR,Jacksboro,TN,37757,(423) 562-3773,,Campbell County,2020,Jennifer Fields,Grades 6-8
70,Campbell County,70,Jellico Elementary,551  Sunset  TRL,Jellico,TN,37762,(423) 784-6565,,Campbell County,2020,Danny Oakes,Grades PK-8
70,Campbell County,75,Jellico High School,141 High  School LN,Jellico,TN,37762,(423) 783-9455,,Campbell County,2020,Dr. Donna Singley,Grades 9-12
70,Campbell County,77,LaFollette Elementary School,195 Myers LN,LaFollette,TN,37766,(423) 562-3439,(423) 562-3439,Campbell County,2020,Meredith Arnold,Grades PK-7
70,Campbell County,80,Lafollette Middle School,1309 East Central AVE,La Follette,TN,37766,(423) 562-8448,,Campbell County,2020,Joey St. John,Grades 6-8
70,Campbell County,135,Valley View Elementary,1187 Old  Middlesboro HWY,LaFollette,TN,37766,(423) 562-5278,,Campbell County,2020,Jason Dotson,Grades PK-5
70,Campbell County,140,White Oak Elementary,5634  White  Oak RD,Duff,TN,37729,(423) 784-6051,,Campbell County,2020,Tom Chadwell,Grades PK-8
70,Campbell County,150,Wynn Habersham Elementary,174  Habersham  RD,Duff,TN,37729,(423) 784-9482,,Campbell County,2020,Dr. Krissy Cobb,Grades KG-9
70,Campbell County,155,Jellico Learning Academy,141 High School RD,Jellico,TN,37762,(423) 784-9455,(423) 784-9455,Campbell County,2020,Harold Sanders,Grades 6-12
70,Campbell County,160,East Lafollette Learning Academy,860 East Chestnut,LaFollette,TN,37766,(423) 352-8006,,Campbell County,2020,Sandy Wilson,Grades 6-12
80,Cannon County,5,Auburn Elementary,150  Vantrease  AVE,Auburntown,TN,37016,(615) 464-4342,,Cannon County,2020,Melinda Crook,Grades KG-8
80,Cannon County,16,Cannon County High School,1  Lion  DR,Woodbury,TN,37190,(615) 563-2144,,Cannon County,2020,Mr. Courtney Nichols,Grades 9-12
80,Cannon County,20,East Side Elementary,5658  McMinnville  HWY,Woodbury,TN,37190,(615) 563-4196,,Cannon County,2020,Connie Foster,Grades PK-8
80,Cannon County,30,Short Mountain Elementary,5988 Short Mountain RD,Woodbury,TN,37190,(615) 563-4418,,Cannon County,2020,Robert Pitts,Grades PK-8
80,Cannon County,35,West Side Elementary,3714  Murfreesboro  RD,Readyville,TN,37149,(615) 563-4482,,Cannon County,2020,Karen King,Grades PK-8
80,Cannon County,40,Woodbury Grammar,530 West Adams ST,Woodbury,TN,37190,(615) 563-2220,,Cannon County,2020,Mrs. Emily Hancock,Grades PK-8
80,Cannon County,45,Woodland Elementary,8383 Jim Cummings HWY,Bradyville,TN,37026,(615) 765-5498,,Cannon County,2020,Angela Cossey,Grades PK-8
90,Carroll County,7,Carroll Co Tech Center,1235 Buena Vista RD,Huntingdon,TN,38344,(731) 986-8908,,Carroll County,2020,Dennis Lee Stokes,Grades 11-12
90,Carroll County,9,Carroll County Special Learning Center,P. O. Box 799 RD,Huntingdon,TN,38344,(731) 986-4482,,Carroll County,2020,David Stone,Grades PK-12
92,Hollow Rock - Bruceton,5,Central Elementary,P O Box 135 ST,Bruceton,TN,38317,(731) 418-4168,,Carroll County,2020,Deborah Martin,Grades PK-5
92,Hollow Rock - Bruceton,10,Central High School,P O Box 135 ST,Bruceton,TN,38317,(731) 418-4189,,Carroll County,2020,Joe Norval,Grades 6-12
93,Huntingdon Special School District,5,Huntingdon Middle School,199 Browning AVE,Huntingdon,TN,38344,(731) 986-2175,,Carroll County,2020,Mr. Scott Carter,Grades 4-8
93,Huntingdon Special School District,10,Huntingdon High School,475 Mustang DR,Huntingdon,TN,38344,(731) 986-8223,,Carroll County,2020,Dr. Jonathan Kee,Grades 9-12
93,Huntingdon Special School District,15,Huntingdon Primary,191 Cox ST,Huntingdon,TN,38344,(731) 986-3091,,Carroll County,2020,Mr. Alan Eubanks,Grades PK-3
93,Huntingdon Special School District,7001,Northwest Head Start - Huntingdon,13310 Paris ST,Huntingdon,TN,38344,(731) 986-7526,,Carroll County,2020,Mr. Alan Eubanks,Grades PK-PK
94,McKenzie,5,McKenzie Elementary,165 Brooks AVE,McKenzie,TN,38201,(731) 352-5272,,Carroll County,2020,Tonya Brown,Grades PK-4
94,McKenzie,10,McKenzie High School,23292  Highway  22,McKenzie,TN,38201,(731) 352-2133,,Carroll County,2020,Kelly Spivey,Grades 9-12
94,McKenzie,15,McKenzie Middle School,80 West Woodrow AVE,McKenzie,TN,38201,(731) 352-2792,,Carroll County,2020,Dorethea Royle,Grades 5-8
95,South Carroll,5,Clarksburg School,P. O. Box 219 RD,Clarksburg,TN,38324,(731) 986-3165,,Carroll County,2020,Angela Bartholomew,Grades PK-12
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,760 Highway 77,Atwood,TN,38220,(731) 662-7116,,Carroll County,2020,Mrs. Kelly Todd,Grades 7-12
97,West Carroll Sp Dist,20,West Carroll Primary,P O Box 219,McLemoresville,TN,38235,(731) 986-8359,,Carroll County,2020,Jackie Wester,Grades PK-2
97,West Carroll Sp Dist,25,West Carroll Elementary School,P. O. Box 278 ST,Trezevant,TN,38258,(731) 669-3851,,Carroll County,2020,Tracy Foster,Grades 3-6
100,Carter County,5,Central Elementary,252 Taylor RD,Johnson City,TN,37601,(423) 547-4045,,Carter County,2020,Terry Morley,Grades PK-10
100,Carter County,13,Cloudland Elementary School,8540 Highway 19 East,Roan Mountain,TN,37687,(423) 772-5310,,Carter County,2020,Becky Raulston,Grades PK-6
100,Carter County,15,Cloudland High School,476  Cloudland  DR,Roan Mountain,TN,37687,(423) 772-5300,,Carter County,2020,CHRIS WHITEHEAD,Grades 7-12
100,Carter County,25,Hampton Elementary,408  Hwy  321,Hampton,TN,37658,(423) 725-5220,,Carter County,2020,Brandon Carpenter,Grades PK-8
100,Carter County,30,Hampton High School,766 1st ST,Hampton,TN,37658,(423) 725-5200,,Carter County,2020,Jeff Bradley,Grades 9-12
100,Carter County,35,Happy Valley Elementary,1840  Milligan  HWY,Johnson City,TN,37601,(423) 547-4028,,Carter County,2020,Stephan Garland,Grades PK-4
100,Carter County,40,Happy Valley High School,121  Warpath  LN,Elizabethton,TN,37643,(423) 547-4094,,Carter County,2020,Doug Mitchell,Grades 9-12
100,Carter County,43,Happy Valley Middle School,163  Warpath  LN,Elizabethton,TN,37643,(423) 547-4070,,Carter County,2020,Katherine Hyder,Grades 5-8
100,Carter County,45,Hunter Elementary,145  Hope  ST,Elizabethton,TN,37643,(423) 547-4074,,Carter County,2020,Mark Revis,Grades PK-8
100,Carter County,50,Keenburg Elementary,139  Keenburg  RD,Elizabethton,TN,37643,(423) 547-4047,,Carter County,2020,Jason Hartley,Grades PK-8
100,Carter County,52,Siam Learning Center,2543 Siam RD,Elizabethton,TN,37643,(423) 547-4050,,Carter County,2020,Mike Ensor,Grades KG-12
100,Carter County,55,Little Milligan,4226  Hwy  321,Butler,TN,37640,(423) 768-4400,,Carter County,2020,Howard Campbell,Grades PK-8
100,Carter County,85,Unaka Elementary,120  Unaka  DR,Elizabethton,TN,37643,(423) 474-4110,,Carter County,2020,LARISSA TRIVETTE,Grades PK-8
100,Carter County,90,Unaka High School,119  Robinson  LN,Elizabethton,TN,37643,(423) 474-4100,,Carter County,2020,Betsy Oliver,Grades 9-12
100,Carter County,95,Valley Forge Elementary,1485 Riverview DR,Elizabethton,TN,37643,(423) 547-4085,,Carter County,2020,LeeAnn Carr,Grades PK-5
101,Elizabethton,10,East Side Elementary,800 Siam RD,Elizabethton,TN,37643,(423) 547-8010,,Carter County,2020,Travis Hurley,Grades PK-5
101,Elizabethton,15,Elizabethton High School,907 Jason Witten Way,Elizabethton,TN,37643,(423) 547-8015,,Carter County,2020,Jonathan Minton,Grades 9-12
101,Elizabethton,20,Harold McCormick Elementary,226 Cedar AVE,Elizabethton,TN,37643,(423) 547-8020,,Carter County,2020,James E Wampler,Grades KG-6
101,Elizabethton,25,T A Dugger Junior High School,305 West  E ST,Elizabethton,TN,37643,(423) 547-8025,,Carter County,2020,Chris Berry,Grades 6-8
101,Elizabethton,30,West Side Elementary,1310 Burgie ST,Elizabethton,TN,37643,(423) 547-8030,,Carter County,2020,John Wright,Grades KG-5
110,Cheatham County,5,Ashland City Elementary,108  Elizabeth  ST,Ashland City,TN,37015,(615) 792-4296,,Cheatham County,2020,Melinda Broyles,Grades PK-4
110,Cheatham County,10,Cheatham Co Central,1  Cub  CIR,Ashland City,TN,37015,(615) 792-5641,,Cheatham County,2020,Mr. Stephen Wenning,Grades 9-12
110,Cheatham County,14,Cheatham Middle School,700  Scoutview  DR,Ashland City,TN,37015,(615) 792-2334,,Cheatham County,2020,Ms. Linda Owen,Grades 5-8
